[12:18:49.043] [INFO   ] thread bguspl.set.Main.main() starting.
[12:18:49.048] [SEVERE ] cannot read configuration file config.properties trying from resources.
[12:18:49.049] [SEVERE ] configuration file was loaded from resources directory.
[12:18:49.888] [INFO   ] thread dealer starting.
[12:18:49.893] [INFO   ] thread dealer starting.
[12:18:49.895] [INFO   ] thread Thread-1 starting.
[12:18:49.896] [INFO   ] thread Thread-2 starting.
[12:18:49.897] [INFO   ] thread Thread-3 starting.
[12:18:49.898] [INFO   ] thread Thread-4 starting.
[12:18:49.898] [INFO   ] thread computer-0 starting.
[12:18:49.898] [INFO   ] thread Thread-5 starting.
[12:18:49.898] [INFO   ] thread computer-1 starting.
[12:18:49.901] [INFO   ] thread computer-2 starting.
[12:18:49.903] [INFO   ] thread computer-3 starting.
[12:18:49.938] [INFO   ] thread computer-4 starting.
[12:18:50.012] [SEVERE ] player 1 placing token on slot 4
[12:18:50.012] [SEVERE ] player 4 placing token on slot 4
[12:18:50.012] [SEVERE ] player 3 placing token on slot 4
[12:18:50.012] [SEVERE ] placing card 53 in slot 4
[12:18:50.012] [SEVERE ] player 2 placing token on slot 4
[12:18:50.012] [SEVERE ] player 5 placing token on slot 4
[12:18:50.015] [SEVERE ] removing player 2 token from slot 4
[12:18:50.014] [SEVERE ] removing player 3 token from slot 4
[12:18:50.014] [SEVERE ] removing player 1 token from slot 4
[12:18:50.014] [SEVERE ] removing player 4 token from slot 4
[12:18:50.016] [SEVERE ] player 3 placing token on slot 4
[12:18:50.016] [SEVERE ] player 2 placing token on slot 4
[12:18:50.016] [SEVERE ] removing player 5 token from slot 4
[12:18:50.018] [SEVERE ] removing player 2 token from slot 4
[12:18:50.017] [SEVERE ] removing player 3 token from slot 4
[12:18:50.017] [SEVERE ] player 1 placing token on slot 4
[12:18:50.017] [SEVERE ] player 4 placing token on slot 4
[12:18:50.020] [SEVERE ] removing player 1 token from slot 4
[12:18:50.020] [SEVERE ] player 3 placing token on slot 4
[12:18:50.019] [SEVERE ] player 2 placing token on slot 4
[12:18:50.018] [SEVERE ] player 5 placing token on slot 4
[12:18:50.023] [SEVERE ] removing player 2 token from slot 4
[12:18:50.023] [SEVERE ] removing player 3 token from slot 4
[12:18:50.022] [SEVERE ] player 1 placing token on slot 4
[12:18:50.022] [SEVERE ] removing player 4 token from slot 4
[12:18:50.025] [SEVERE ] removing player 1 token from slot 4
[12:18:50.025] [SEVERE ] player 3 placing token on slot 4
[12:18:50.024] [SEVERE ] player 2 placing token on slot 4
[12:18:50.024] [SEVERE ] removing player 5 token from slot 4
[12:18:50.028] [SEVERE ] removing player 2 token from slot 4
