[20:15:20.034] [INFO   ] thread bguspl.set.Main.main() starting.
[20:15:20.037] [SEVERE ] cannot read configuration file config.properties trying from resources.
[20:15:20.038] [SEVERE ] configuration file was loaded from resources directory.
[20:15:20.611] [INFO   ] thread dealer starting.
[20:15:20.613] [INFO   ] thread dealer starting.
[20:15:20.614] [INFO   ] thread Thread-1 starting.
[20:15:20.615] [INFO   ] thread Thread-3 starting.
[20:15:20.614] [INFO   ] thread Thread-2 starting.
[20:15:20.617] [INFO   ] thread computer-2 starting.
[20:15:20.725] [SEVERE ] placing card 25 in slot 8
[20:15:20.725] [SEVERE ] player 3 placing token on slot 8
[20:15:20.732] [SEVERE ] removing player 3 token from slot 8
[20:15:20.734] [SEVERE ] player 3 placing token on slot 8
[20:15:20.735] [SEVERE ] removing player 3 token from slot 8
[20:15:20.735] [SEVERE ] player 3 placing token on slot 8
[20:15:20.736] [SEVERE ] removing player 3 token from slot 8
[20:15:20.737] [SEVERE ] player 3 placing token on slot 8
[20:15:20.737] [SEVERE ] removing player 3 token from slot 8
[20:15:20.738] [SEVERE ] player 3 placing token on slot 8
[20:15:20.738] [SEVERE ] removing player 3 token from slot 8
[20:15:20.739] [SEVERE ] player 3 placing token on slot 8
[20:15:20.742] [SEVERE ] removing player 3 token from slot 8
[20:15:20.743] [SEVERE ] player 3 placing token on slot 8
[20:15:20.744] [SEVERE ] removing player 3 token from slot 8
[20:15:20.744] [SEVERE ] player 3 placing token on slot 8
[20:15:20.745] [SEVERE ] removing player 3 token from slot 8
[20:15:20.746] [SEVERE ] player 3 placing token on slot 8
[20:15:20.746] [SEVERE ] removing player 3 token from slot 8
[20:15:20.747] [SEVERE ] player 3 placing token on slot 8
[20:15:20.747] [SEVERE ] removing player 3 token from slot 8
[20:15:20.748] [SEVERE ] player 3 placing token on slot 8
[20:15:20.748] [SEVERE ] removing player 3 token from slot 8
[20:15:20.749] [SEVERE ] player 3 placing token on slot 8
[20:15:20.750] [SEVERE ] removing player 3 token from slot 8
[20:15:20.750] [SEVERE ] player 3 placing token on slot 8
[20:15:20.751] [SEVERE ] removing player 3 token from slot 8
[20:15:20.751] [SEVERE ] player 3 placing token on slot 8
[20:15:20.752] [SEVERE ] removing player 3 token from slot 8
[20:15:20.752] [SEVERE ] player 3 placing token on slot 8
[20:15:20.753] [SEVERE ] removing player 3 token from slot 8
[20:15:20.753] [SEVERE ] player 3 placing token on slot 8
[20:15:20.754] [SEVERE ] removing player 3 token from slot 8
[20:15:20.754] [SEVERE ] player 3 placing token on slot 8
[20:15:20.755] [SEVERE ] removing player 3 token from slot 8
[20:15:20.755] [SEVERE ] player 3 placing token on slot 8
[20:15:20.756] [SEVERE ] removing player 3 token from slot 8
[20:15:20.756] [SEVERE ] player 3 placing token on slot 8
[20:15:20.757] [SEVERE ] removing player 3 token from slot 8
[20:15:20.757] [SEVERE ] player 3 placing token on slot 8
[20:15:20.758] [SEVERE ] removing player 3 token from slot 8
[20:15:20.758] [SEVERE ] player 3 placing token on slot 8
[20:15:20.759] [SEVERE ] removing player 3 token from slot 8
[20:15:20.759] [SEVERE ] player 3 placing token on slot 8
[20:15:20.760] [SEVERE ] removing player 3 token from slot 8
[20:15:20.760] [SEVERE ] player 3 placing token on slot 8
[20:15:20.761] [SEVERE ] removing player 3 token from slot 8
[20:15:20.761] [SEVERE ] player 3 placing token on slot 8
[20:15:20.762] [SEVERE ] removing player 3 token from slot 8
[20:15:20.762] [SEVERE ] player 3 placing token on slot 8
[20:15:20.762] [SEVERE ] removing player 3 token from slot 8
[20:15:20.763] [SEVERE ] player 3 placing token on slot 8
[20:15:20.763] [SEVERE ] removing player 3 token from slot 8
[20:15:20.764] [SEVERE ] player 3 placing token on slot 8
[20:15:20.764] [SEVERE ] removing player 3 token from slot 8
[20:15:20.765] [SEVERE ] player 3 placing token on slot 8
[20:15:20.765] [SEVERE ] removing player 3 token from slot 8
[20:15:20.766] [SEVERE ] player 3 placing token on slot 8
[20:15:20.766] [SEVERE ] removing player 3 token from slot 8
[20:15:20.767] [SEVERE ] player 3 placing token on slot 8
[20:15:20.767] [SEVERE ] removing player 3 token from slot 8
[20:15:20.768] [SEVERE ] player 3 placing token on slot 8
[20:15:20.768] [SEVERE ] removing player 3 token from slot 8
[20:15:20.769] [SEVERE ] player 3 placing token on slot 8
[20:15:20.769] [SEVERE ] removing player 3 token from slot 8
[20:15:20.769] [SEVERE ] player 3 placing token on slot 8
[20:15:20.771] [SEVERE ] removing player 3 token from slot 8
[20:15:20.771] [SEVERE ] player 3 placing token on slot 8
[20:15:20.772] [SEVERE ] removing player 3 token from slot 8
[20:15:20.772] [SEVERE ] player 3 placing token on slot 8
[20:15:20.772] [SEVERE ] removing player 3 token from slot 8
[20:15:20.773] [SEVERE ] player 3 placing token on slot 8
[20:15:20.773] [SEVERE ] removing player 3 token from slot 8
[20:15:20.774] [SEVERE ] player 3 placing token on slot 8
[20:15:20.775] [SEVERE ] removing player 3 token from slot 8
[20:15:20.776] [SEVERE ] player 3 placing token on slot 8
[20:15:20.776] [SEVERE ] removing player 3 token from slot 8
[20:15:20.777] [SEVERE ] player 3 placing token on slot 8
[20:15:20.778] [SEVERE ] removing player 3 token from slot 8
[20:15:20.778] [SEVERE ] player 3 placing token on slot 8
