[19:29:23.310] [INFO   ] thread bguspl.set.Main.main() starting.
[19:29:23.315] [SEVERE ] cannot read configuration file config.properties trying from resources.
[19:29:23.316] [SEVERE ] configuration file was loaded from resources directory.
[19:29:24.112] [INFO   ] thread dealer starting.
[19:29:24.112] [INFO   ] thread dealer starting.
[19:29:24.113] [INFO   ] thread Thread-1 starting.
[19:29:24.113] [INFO   ] thread Thread-2 starting.
[19:29:24.115] [INFO   ] thread computer-1 starting.
[19:29:24.226] [SEVERE ] placing card 1 in slot 0
[19:29:24.226] [SEVERE ] player 2 placing token on slot 0
[19:29:24.230] [SEVERE ] removing player 2 token from slot 0
[19:29:24.231] [SEVERE ] player 2 placing token on slot 0
[19:29:24.232] [SEVERE ] removing player 2 token from slot 0
[19:29:24.232] [SEVERE ] player 2 placing token on slot 0
[19:29:24.233] [SEVERE ] removing player 2 token from slot 0
[19:29:24.233] [SEVERE ] player 2 placing token on slot 0
[19:29:24.233] [SEVERE ] removing player 2 token from slot 0
[19:29:24.234] [SEVERE ] player 2 placing token on slot 0
[19:29:24.234] [SEVERE ] removing player 2 token from slot 0
[19:29:24.235] [SEVERE ] player 2 placing token on slot 0
[19:29:24.235] [SEVERE ] removing player 2 token from slot 0
[19:29:24.235] [SEVERE ] player 2 placing token on slot 0
[19:29:24.235] [SEVERE ] removing player 2 token from slot 0
[19:29:24.236] [SEVERE ] player 2 placing token on slot 0
[19:29:24.236] [SEVERE ] removing player 2 token from slot 0
[19:29:24.237] [SEVERE ] player 2 placing token on slot 0
[19:29:24.238] [SEVERE ] removing player 2 token from slot 0
[19:29:24.238] [SEVERE ] player 2 placing token on slot 0
[19:29:24.238] [SEVERE ] removing player 2 token from slot 0
[19:29:24.239] [SEVERE ] player 2 placing token on slot 0
[19:29:24.239] [SEVERE ] removing player 2 token from slot 0
[19:29:24.239] [SEVERE ] player 2 placing token on slot 0
[19:29:24.239] [SEVERE ] removing player 2 token from slot 0
[19:29:24.240] [SEVERE ] player 2 placing token on slot 0
[19:29:24.240] [SEVERE ] removing player 2 token from slot 0
[19:29:24.240] [SEVERE ] player 2 placing token on slot 0
[19:29:24.240] [SEVERE ] removing player 2 token from slot 0
[19:29:24.240] [SEVERE ] player 2 placing token on slot 0
[19:29:24.241] [SEVERE ] removing player 2 token from slot 0
[19:29:24.241] [SEVERE ] player 2 placing token on slot 0
[19:29:24.241] [SEVERE ] removing player 2 token from slot 0
[19:29:24.242] [SEVERE ] player 2 placing token on slot 0
