[20:37:46.467] [INFO   ] thread bguspl.set.Main.main() starting.
[20:37:46.471] [SEVERE ] cannot read configuration file config.properties trying from resources.
[20:37:46.474] [SEVERE ] configuration file was loaded from resources directory.
[20:37:47.007] [INFO   ] thread dealer starting.
[20:37:47.008] [INFO   ] thread dealer starting.
[20:37:47.009] [INFO   ] thread Thread-1 starting.
[20:37:47.009] [INFO   ] thread Thread-2 starting.
[20:37:47.011] [INFO   ] thread computer-1 starting.
[20:37:47.117] [SEVERE ] placing card 27 in slot 10
[20:37:47.117] [SEVERE ] player 2 placing token on slot 10
[20:37:47.121] [SEVERE ] removing player 2 token from slot 10
[20:37:47.123] [SEVERE ] player 2 placing token on slot 10
[20:37:47.124] [SEVERE ] removing player 2 token from slot 10
[20:37:47.124] [SEVERE ] player 2 placing token on slot 10
[20:37:47.125] [SEVERE ] removing player 2 token from slot 10
[20:37:47.126] [SEVERE ] player 2 placing token on slot 10
[20:37:47.126] [SEVERE ] removing player 2 token from slot 10
[20:37:47.126] [SEVERE ] player 2 placing token on slot 10
[20:37:47.127] [SEVERE ] removing player 2 token from slot 10
[20:37:47.127] [SEVERE ] player 2 placing token on slot 10
[20:37:47.127] [SEVERE ] removing player 2 token from slot 10
[20:37:47.129] [SEVERE ] player 2 placing token on slot 10
[20:37:47.129] [SEVERE ] removing player 2 token from slot 10
[20:37:47.129] [SEVERE ] player 2 placing token on slot 10
[20:37:47.130] [SEVERE ] removing player 2 token from slot 10
[20:37:47.131] [SEVERE ] player 2 placing token on slot 10
[20:37:47.131] [SEVERE ] removing player 2 token from slot 10
[20:37:47.132] [SEVERE ] player 2 placing token on slot 10
[20:37:47.132] [SEVERE ] removing player 2 token from slot 10
[20:37:47.137] [SEVERE ] player 2 placing token on slot 10
[20:37:47.138] [SEVERE ] removing player 2 token from slot 10
[20:37:47.139] [SEVERE ] player 2 placing token on slot 10
[20:37:47.139] [SEVERE ] removing player 2 token from slot 10
[20:37:47.141] [SEVERE ] player 2 placing token on slot 10
[20:37:47.141] [SEVERE ] removing player 2 token from slot 10
[20:37:47.141] [SEVERE ] player 2 placing token on slot 10
[20:37:47.141] [SEVERE ] removing player 2 token from slot 10
[20:37:47.143] [SEVERE ] player 2 placing token on slot 10
[20:37:47.143] [SEVERE ] removing player 2 token from slot 10
[20:37:47.143] [SEVERE ] player 2 placing token on slot 10
[20:37:47.144] [SEVERE ] removing player 2 token from slot 10
[20:37:47.144] [SEVERE ] player 2 placing token on slot 10
[20:37:47.144] [SEVERE ] removing player 2 token from slot 10
[20:37:47.144] [SEVERE ] player 2 placing token on slot 10
[20:37:47.145] [SEVERE ] removing player 2 token from slot 10
[20:37:47.145] [SEVERE ] player 2 placing token on slot 10
[20:37:47.146] [SEVERE ] removing player 2 token from slot 10
[20:37:47.146] [SEVERE ] player 2 placing token on slot 10
[20:37:47.146] [SEVERE ] removing player 2 token from slot 10
[20:37:47.147] [SEVERE ] player 2 placing token on slot 10
