[19:16:39.575] [INFO   ] thread bguspl.set.Main.main() starting.
[19:16:39.577] [SEVERE ] cannot read configuration file config.properties trying from resources.
[19:16:39.578] [SEVERE ] configuration file was loaded from resources directory.
[19:16:40.359] [INFO   ] thread dealer starting.
[19:16:40.360] [INFO   ] thread dealer starting.
[19:16:40.361] [INFO   ] thread Thread-2 starting.
[19:16:40.361] [INFO   ] thread Thread-1 starting.
[19:16:40.362] [INFO   ] thread computer-1 starting.
[19:16:40.473] [SEVERE ] placing card 6 in slot 0
[19:16:40.473] [SEVERE ] player 2 placing token on slot 0
[19:16:40.480] [SEVERE ] removing player 2 token from slot 0
[19:16:40.480] [SEVERE ] player 2 placing token on slot 0
[19:16:40.480] [SEVERE ] removing player 2 token from slot 0
[19:16:40.481] [SEVERE ] player 2 placing token on slot 0
[19:16:40.481] [SEVERE ] removing player 2 token from slot 0
[19:16:40.483] [SEVERE ] player 2 placing token on slot 0
[19:16:40.485] [SEVERE ] removing player 2 token from slot 0
[19:16:40.485] [SEVERE ] player 2 placing token on slot 0
[19:16:40.486] [SEVERE ] removing player 2 token from slot 0
[19:16:40.486] [SEVERE ] player 2 placing token on slot 0
[19:16:40.486] [SEVERE ] removing player 2 token from slot 0
[19:16:40.488] [SEVERE ] player 2 placing token on slot 0
[19:16:40.488] [SEVERE ] removing player 2 token from slot 0
[19:16:40.488] [SEVERE ] player 2 placing token on slot 0
[19:16:40.489] [SEVERE ] removing player 2 token from slot 0
[19:16:40.489] [SEVERE ] player 2 placing token on slot 0
[19:16:40.489] [SEVERE ] removing player 2 token from slot 0
[19:16:40.491] [SEVERE ] player 2 placing token on slot 0
[19:16:40.491] [SEVERE ] removing player 2 token from slot 0
[19:16:40.491] [SEVERE ] player 2 placing token on slot 0
[19:16:40.492] [SEVERE ] removing player 2 token from slot 0
[19:16:40.492] [SEVERE ] player 2 placing token on slot 0
[19:16:40.492] [SEVERE ] removing player 2 token from slot 0
[19:16:40.492] [SEVERE ] player 2 placing token on slot 0
[19:16:40.494] [SEVERE ] removing player 2 token from slot 0
[19:16:40.494] [SEVERE ] player 2 placing token on slot 0
[19:16:40.494] [SEVERE ] removing player 2 token from slot 0
[19:16:40.494] [SEVERE ] player 2 placing token on slot 0
[19:16:40.495] [SEVERE ] removing player 2 token from slot 0
[19:16:40.495] [SEVERE ] player 2 placing token on slot 0
[19:16:40.495] [SEVERE ] removing player 2 token from slot 0
[19:16:40.497] [SEVERE ] player 2 placing token on slot 0
[19:16:40.497] [SEVERE ] removing player 2 token from slot 0
[19:16:40.497] [SEVERE ] player 2 placing token on slot 0
[19:16:40.497] [SEVERE ] removing player 2 token from slot 0
[19:16:40.497] [SEVERE ] player 2 placing token on slot 0
[19:16:40.498] [SEVERE ] removing player 2 token from slot 0
[19:16:40.498] [SEVERE ] player 2 placing token on slot 0
[19:16:40.500] [SEVERE ] removing player 2 token from slot 0
[19:16:40.500] [SEVERE ] player 2 placing token on slot 0
[19:16:40.500] [SEVERE ] removing player 2 token from slot 0
[19:16:40.502] [SEVERE ] player 2 placing token on slot 0
[19:16:40.503] [SEVERE ] removing player 2 token from slot 0
