[20:49:02.870] [INFO   ] thread bguspl.set.Main.main() starting.
[20:49:02.876] [SEVERE ] cannot read configuration file config.properties trying from resources.
[20:49:02.878] [SEVERE ] configuration file was loaded from resources directory.
[20:49:03.699] [INFO   ] thread dealer starting.
[20:49:03.699] [INFO   ] thread dealer starting.
[20:49:03.701] [INFO   ] thread Thread-1 starting.
[20:49:03.702] [INFO   ] thread Thread-2 starting.
[20:49:03.703] [INFO   ] thread computer-1 starting.
[20:49:03.816] [SEVERE ] placing card 32 in slot 11
[20:49:03.816] [SEVERE ] player 2 placing token on slot 11
[20:49:03.823] [SEVERE ] removing player 2 token from slot 11
[20:49:03.824] [SEVERE ] player 2 placing token on slot 11
[20:49:03.827] [SEVERE ] removing player 2 token from slot 11
[20:49:03.830] [SEVERE ] player 2 placing token on slot 11
[20:49:03.830] [SEVERE ] removing player 2 token from slot 11
[20:49:03.831] [SEVERE ] player 2 placing token on slot 11
[20:49:03.831] [SEVERE ] removing player 2 token from slot 11
[20:49:03.833] [SEVERE ] player 2 placing token on slot 11
[20:49:03.833] [SEVERE ] removing player 2 token from slot 11
[20:49:03.835] [SEVERE ] player 2 placing token on slot 11
[20:49:03.835] [SEVERE ] removing player 2 token from slot 11
[20:49:03.836] [SEVERE ] player 2 placing token on slot 11
[20:49:03.836] [SEVERE ] removing player 2 token from slot 11
[20:49:03.837] [SEVERE ] player 2 placing token on slot 11
[20:49:03.837] [SEVERE ] removing player 2 token from slot 11
[20:49:03.838] [SEVERE ] player 2 placing token on slot 11
[20:49:03.838] [SEVERE ] removing player 2 token from slot 11
[20:49:03.838] [SEVERE ] player 2 placing token on slot 11
[20:49:03.839] [SEVERE ] removing player 2 token from slot 11
[20:49:03.839] [SEVERE ] player 2 placing token on slot 11
[20:49:03.839] [SEVERE ] removing player 2 token from slot 11
[20:49:03.840] [SEVERE ] player 2 placing token on slot 11
[20:49:03.840] [SEVERE ] removing player 2 token from slot 11
[20:49:03.840] [SEVERE ] player 2 placing token on slot 11
[20:49:03.841] [SEVERE ] removing player 2 token from slot 11
[20:49:03.841] [SEVERE ] player 2 placing token on slot 11
[20:49:03.841] [SEVERE ] removing player 2 token from slot 11
[20:49:03.842] [SEVERE ] player 2 placing token on slot 11
[20:49:03.842] [SEVERE ] removing player 2 token from slot 11
[20:49:03.843] [SEVERE ] player 2 placing token on slot 11
[20:49:03.843] [SEVERE ] removing player 2 token from slot 11
[20:49:03.843] [SEVERE ] player 2 placing token on slot 11
[20:49:03.844] [SEVERE ] removing player 2 token from slot 11
[20:49:03.844] [SEVERE ] player 2 placing token on slot 11
[20:49:03.845] [SEVERE ] removing player 2 token from slot 11
[20:49:03.845] [SEVERE ] player 2 placing token on slot 11
[20:49:03.846] [SEVERE ] removing player 2 token from slot 11
