[19:34:04.005] [INFO   ] thread bguspl.set.Main.main() starting.
[19:34:04.007] [SEVERE ] cannot read configuration file config.properties trying from resources.
[19:34:04.008] [SEVERE ] configuration file was loaded from resources directory.
[19:34:04.776] [INFO   ] thread dealer starting.
[19:34:04.777] [INFO   ] thread dealer starting.
[19:34:04.778] [INFO   ] thread Thread-1 starting.
[19:34:04.778] [INFO   ] thread Thread-2 starting.
[19:34:04.778] [INFO   ] thread Thread-3 starting.
[19:34:04.779] [INFO   ] thread computer-0 starting.
[19:34:04.779] [INFO   ] thread computer-1 starting.
[19:34:04.779] [INFO   ] thread computer-2 starting.
[19:34:04.889] [SEVERE ] player 1 placing token on slot 0
[19:34:04.889] [SEVERE ] player 2 placing token on slot 0
[19:34:04.889] [SEVERE ] player 3 placing token on slot 0
[19:34:04.889] [SEVERE ] placing card 9 in slot 0
[19:34:04.892] [SEVERE ] removing player 1 token from slot 0
[19:34:04.892] [SEVERE ] removing player 2 token from slot 0
[19:34:04.892] [SEVERE ] removing player 3 token from slot 0
[19:34:04.892] [SEVERE ] player 2 placing token on slot 0
[19:34:04.892] [SEVERE ] player 3 placing token on slot 0
[19:34:04.892] [SEVERE ] player 1 placing token on slot 0
[19:34:04.894] [SEVERE ] removing player 3 token from slot 0
[19:34:04.892] [SEVERE ] removing player 2 token from slot 0
[19:34:04.894] [SEVERE ] player 3 placing token on slot 0
[19:34:04.894] [SEVERE ] removing player 1 token from slot 0
[19:34:04.894] [SEVERE ] removing player 3 token from slot 0
[19:34:04.894] [SEVERE ] player 2 placing token on slot 0
[19:34:04.894] [SEVERE ] player 3 placing token on slot 0
[19:34:04.894] [SEVERE ] player 1 placing token on slot 0
[19:34:04.895] [SEVERE ] removing player 3 token from slot 0
[19:34:04.895] [SEVERE ] removing player 2 token from slot 0
[19:34:04.895] [SEVERE ] player 3 placing token on slot 0
[19:34:04.895] [SEVERE ] removing player 1 token from slot 0
[19:34:04.895] [SEVERE ] player 2 placing token on slot 0
[19:34:04.895] [SEVERE ] player 1 placing token on slot 0
[19:34:04.895] [SEVERE ] removing player 3 token from slot 0
[19:34:04.897] [SEVERE ] removing player 1 token from slot 0
[19:34:04.897] [SEVERE ] removing player 2 token from slot 0
[19:34:04.897] [SEVERE ] player 1 placing token on slot 0
[19:34:04.897] [SEVERE ] player 3 placing token on slot 0
[19:34:04.897] [SEVERE ] removing player 1 token from slot 0
[19:34:04.897] [SEVERE ] player 2 placing token on slot 0
