[19:59:59.965] [INFO   ] thread bguspl.set.Main.main() starting.
[19:59:59.967] [SEVERE ] cannot read configuration file config.properties trying from resources.
[19:59:59.968] [SEVERE ] configuration file was loaded from resources directory.
[20:00:00.660] [INFO   ] thread dealer starting.
[20:00:00.660] [INFO   ] thread dealer starting.
[20:00:00.662] [INFO   ] thread Thread-1 starting.
[20:00:00.663] [INFO   ] thread Thread-2 starting.
[20:00:00.662] [INFO   ] thread Thread-3 starting.
[20:00:00.664] [INFO   ] thread computer-2 starting.
[20:00:00.772] [SEVERE ] placing card 51 in slot 0
[20:00:00.772] [SEVERE ] player 3 placing token on slot 0
[20:00:00.780] [SEVERE ] removing player 3 token from slot 0
[20:00:00.782] [SEVERE ] player 3 placing token on slot 0
[20:00:00.782] [SEVERE ] removing player 3 token from slot 0
[20:00:00.783] [SEVERE ] player 3 placing token on slot 0
[20:00:00.783] [SEVERE ] removing player 3 token from slot 0
[20:00:00.784] [SEVERE ] player 3 placing token on slot 0
[20:00:00.784] [SEVERE ] removing player 3 token from slot 0
[20:00:00.786] [SEVERE ] player 3 placing token on slot 0
[20:00:00.787] [SEVERE ] removing player 3 token from slot 0
[20:00:00.788] [SEVERE ] player 3 placing token on slot 0
[20:00:00.789] [SEVERE ] removing player 3 token from slot 0
[20:00:00.790] [SEVERE ] player 3 placing token on slot 0
[20:00:00.791] [SEVERE ] removing player 3 token from slot 0
[20:00:00.792] [SEVERE ] player 3 placing token on slot 0
[20:00:00.793] [SEVERE ] removing player 3 token from slot 0
[20:00:00.793] [SEVERE ] player 3 placing token on slot 0
[20:00:00.793] [SEVERE ] removing player 3 token from slot 0
[20:00:00.794] [SEVERE ] player 3 placing token on slot 0
[20:00:00.795] [SEVERE ] removing player 3 token from slot 0
[20:00:00.795] [SEVERE ] player 3 placing token on slot 0
[20:00:00.796] [SEVERE ] removing player 3 token from slot 0
[20:00:00.797] [SEVERE ] player 3 placing token on slot 0
[20:00:00.797] [SEVERE ] removing player 3 token from slot 0
[20:00:00.797] [SEVERE ] player 3 placing token on slot 0
[20:00:00.798] [SEVERE ] removing player 3 token from slot 0
[20:00:00.798] [SEVERE ] player 3 placing token on slot 0
[20:00:00.798] [SEVERE ] removing player 3 token from slot 0
[20:00:00.798] [SEVERE ] player 3 placing token on slot 0
[20:00:00.799] [SEVERE ] removing player 3 token from slot 0
[20:00:00.799] [SEVERE ] player 3 placing token on slot 0
[20:00:00.800] [SEVERE ] removing player 3 token from slot 0
[20:00:00.800] [SEVERE ] player 3 placing token on slot 0
[20:00:00.800] [SEVERE ] removing player 3 token from slot 0
[20:00:00.800] [SEVERE ] player 3 placing token on slot 0
[20:00:00.801] [SEVERE ] removing player 3 token from slot 0
[20:00:00.801] [SEVERE ] player 3 placing token on slot 0
[20:00:00.801] [SEVERE ] removing player 3 token from slot 0
[20:00:00.801] [SEVERE ] player 3 placing token on slot 0
[20:00:00.803] [SEVERE ] removing player 3 token from slot 0
[20:00:00.803] [SEVERE ] player 3 placing token on slot 0
[20:00:00.803] [SEVERE ] removing player 3 token from slot 0
[20:00:00.805] [SEVERE ] player 3 placing token on slot 0
[20:00:00.805] [SEVERE ] removing player 3 token from slot 0
[20:00:00.806] [SEVERE ] player 3 placing token on slot 0
[20:00:00.806] [SEVERE ] removing player 3 token from slot 0
[20:00:00.806] [SEVERE ] player 3 placing token on slot 0
[20:00:00.806] [SEVERE ] removing player 3 token from slot 0
[20:00:00.807] [SEVERE ] player 3 placing token on slot 0
[20:00:00.808] [SEVERE ] removing player 3 token from slot 0
[20:00:00.808] [SEVERE ] player 3 placing token on slot 0
[20:00:00.809] [SEVERE ] removing player 3 token from slot 0
[20:00:00.809] [SEVERE ] player 3 placing token on slot 0
[20:00:00.809] [SEVERE ] removing player 3 token from slot 0
[20:00:00.810] [SEVERE ] player 3 placing token on slot 0
[20:00:00.811] [SEVERE ] removing player 3 token from slot 0
[20:00:00.811] [SEVERE ] player 3 placing token on slot 0
[20:00:00.811] [SEVERE ] removing player 3 token from slot 0
[20:00:00.811] [SEVERE ] player 3 placing token on slot 0
[20:00:00.811] [SEVERE ] removing player 3 token from slot 0
[20:00:00.812] [SEVERE ] player 3 placing token on slot 0
[20:00:00.812] [SEVERE ] removing player 3 token from slot 0
[20:00:00.813] [SEVERE ] player 3 placing token on slot 0
[20:00:00.813] [SEVERE ] removing player 3 token from slot 0
[20:00:00.813] [SEVERE ] player 3 placing token on slot 0
[20:00:00.814] [SEVERE ] removing player 3 token from slot 0
[20:00:00.814] [SEVERE ] player 3 placing token on slot 0
[20:00:00.815] [SEVERE ] removing player 3 token from slot 0
[20:00:00.815] [SEVERE ] player 3 placing token on slot 0
[20:00:00.815] [SEVERE ] removing player 3 token from slot 0
[20:00:00.815] [SEVERE ] player 3 placing token on slot 0
