[19:31:34.695] [INFO   ] thread bguspl.set.Main.main() starting.
[19:31:34.699] [SEVERE ] cannot read configuration file config.properties trying from resources.
[19:31:34.702] [SEVERE ] configuration file was loaded from resources directory.
[19:31:35.496] [INFO   ] thread dealer starting.
[19:31:35.497] [INFO   ] thread dealer starting.
[19:31:35.498] [INFO   ] thread Thread-1 starting.
[19:31:35.498] [INFO   ] thread Thread-2 starting.
[19:31:35.500] [INFO   ] thread computer-1 starting.
[19:31:35.618] [SEVERE ] player 2 placing token on slot 0
[19:31:35.618] [SEVERE ] placing card 49 in slot 0
[19:31:35.620] [SEVERE ] removing player 2 token from slot 0
[19:31:35.622] [SEVERE ] player 2 placing token on slot 0
[19:31:35.622] [SEVERE ] removing player 2 token from slot 0
[19:31:35.622] [SEVERE ] player 2 placing token on slot 0
[19:31:35.623] [SEVERE ] removing player 2 token from slot 0
[19:31:35.623] [SEVERE ] player 2 placing token on slot 0
[19:31:35.623] [SEVERE ] removing player 2 token from slot 0
[19:31:35.623] [SEVERE ] player 2 placing token on slot 0
[19:31:35.624] [SEVERE ] removing player 2 token from slot 0
[19:31:35.624] [SEVERE ] player 2 placing token on slot 0
[19:31:35.625] [SEVERE ] removing player 2 token from slot 0
[19:31:35.625] [SEVERE ] player 2 placing token on slot 0
[19:31:35.625] [SEVERE ] removing player 2 token from slot 0
[19:31:35.625] [SEVERE ] player 2 placing token on slot 0
[19:31:35.625] [SEVERE ] removing player 2 token from slot 0
[19:31:35.626] [SEVERE ] player 2 placing token on slot 0
[19:31:35.626] [SEVERE ] removing player 2 token from slot 0
[19:31:35.626] [SEVERE ] player 2 placing token on slot 0
[19:31:35.626] [SEVERE ] removing player 2 token from slot 0
[19:31:35.627] [SEVERE ] player 2 placing token on slot 0
[19:31:35.627] [SEVERE ] removing player 2 token from slot 0
[19:31:35.627] [SEVERE ] player 2 placing token on slot 0
[19:31:35.627] [SEVERE ] removing player 2 token from slot 0
[19:31:35.627] [SEVERE ] player 2 placing token on slot 0
[19:31:35.628] [SEVERE ] removing player 2 token from slot 0
[19:31:35.628] [SEVERE ] player 2 placing token on slot 0
[19:31:35.628] [SEVERE ] removing player 2 token from slot 0
[19:31:35.628] [SEVERE ] player 2 placing token on slot 0
[19:31:35.629] [SEVERE ] removing player 2 token from slot 0
[19:31:35.629] [SEVERE ] player 2 placing token on slot 0
[19:31:35.629] [SEVERE ] removing player 2 token from slot 0
[19:31:35.629] [SEVERE ] player 2 placing token on slot 0
[19:31:35.629] [SEVERE ] removing player 2 token from slot 0
[19:31:35.630] [SEVERE ] player 2 placing token on slot 0
[19:31:35.630] [SEVERE ] removing player 2 token from slot 0
[19:31:35.630] [SEVERE ] player 2 placing token on slot 0
[19:31:35.630] [SEVERE ] removing player 2 token from slot 0
[19:31:35.631] [SEVERE ] player 2 placing token on slot 0
[19:31:35.631] [SEVERE ] removing player 2 token from slot 0
[19:31:35.631] [SEVERE ] player 2 placing token on slot 0
[19:31:35.631] [SEVERE ] removing player 2 token from slot 0
[19:31:35.631] [SEVERE ] player 2 placing token on slot 0
[19:31:35.632] [SEVERE ] removing player 2 token from slot 0
[19:31:35.632] [SEVERE ] player 2 placing token on slot 0
[19:31:35.632] [SEVERE ] removing player 2 token from slot 0
[19:31:35.632] [SEVERE ] player 2 placing token on slot 0
[19:31:35.632] [SEVERE ] removing player 2 token from slot 0
[19:31:35.632] [SEVERE ] player 2 placing token on slot 0
[19:31:35.632] [SEVERE ] removing player 2 token from slot 0
[19:31:35.633] [SEVERE ] player 2 placing token on slot 0
[19:31:35.633] [SEVERE ] removing player 2 token from slot 0
[19:31:35.633] [SEVERE ] player 2 placing token on slot 0
[19:31:35.633] [SEVERE ] removing player 2 token from slot 0
[19:31:35.633] [SEVERE ] player 2 placing token on slot 0
[19:31:35.634] [SEVERE ] removing player 2 token from slot 0
[19:31:35.634] [SEVERE ] player 2 placing token on slot 0
[19:31:35.635] [SEVERE ] removing player 2 token from slot 0
[19:31:35.635] [SEVERE ] player 2 placing token on slot 0
[19:31:35.635] [SEVERE ] removing player 2 token from slot 0
[19:31:35.635] [SEVERE ] player 2 placing token on slot 0
[19:31:35.635] [SEVERE ] removing player 2 token from slot 0
[19:31:35.635] [SEVERE ] player 2 placing token on slot 0
[19:31:35.636] [SEVERE ] removing player 2 token from slot 0
[19:31:35.636] [SEVERE ] player 2 placing token on slot 0
[19:31:35.636] [SEVERE ] removing player 2 token from slot 0
[19:31:35.637] [SEVERE ] player 2 placing token on slot 0
[19:31:35.637] [SEVERE ] removing player 2 token from slot 0
[19:31:35.638] [SEVERE ] player 2 placing token on slot 0
[19:31:35.638] [SEVERE ] removing player 2 token from slot 0
[19:31:35.638] [SEVERE ] player 2 placing token on slot 0
[19:31:35.639] [SEVERE ] removing player 2 token from slot 0
[19:31:35.639] [SEVERE ] player 2 placing token on slot 0
[19:31:35.639] [SEVERE ] removing player 2 token from slot 0
[19:31:35.639] [SEVERE ] player 2 placing token on slot 0
[19:31:35.639] [SEVERE ] removing player 2 token from slot 0
[19:31:35.639] [SEVERE ] player 2 placing token on slot 0
[19:31:35.639] [SEVERE ] removing player 2 token from slot 0
[19:31:35.640] [SEVERE ] player 2 placing token on slot 0
[19:31:35.640] [SEVERE ] removing player 2 token from slot 0
[19:31:35.640] [SEVERE ] player 2 placing token on slot 0
[19:31:35.640] [SEVERE ] removing player 2 token from slot 0
[19:31:35.642] [SEVERE ] player 2 placing token on slot 0
[19:31:35.642] [SEVERE ] removing player 2 token from slot 0
[19:31:35.642] [SEVERE ] player 2 placing token on slot 0
[19:31:35.643] [SEVERE ] removing player 2 token from slot 0
[19:31:35.643] [SEVERE ] player 2 placing token on slot 0
[19:31:35.644] [SEVERE ] removing player 2 token from slot 0
[19:31:35.644] [SEVERE ] player 2 placing token on slot 0
[19:31:35.645] [SEVERE ] removing player 2 token from slot 0
[19:31:35.645] [SEVERE ] player 2 placing token on slot 0
[19:31:35.645] [SEVERE ] removing player 2 token from slot 0
[19:31:35.645] [SEVERE ] player 2 placing token on slot 0
[19:31:35.646] [SEVERE ] removing player 2 token from slot 0
[19:31:35.646] [SEVERE ] player 2 placing token on slot 0
[19:31:35.646] [SEVERE ] removing player 2 token from slot 0
[19:31:35.646] [SEVERE ] player 2 placing token on slot 0
[19:31:35.647] [SEVERE ] removing player 2 token from slot 0
[19:31:35.647] [SEVERE ] player 2 placing token on slot 0
[19:31:35.647] [SEVERE ] removing player 2 token from slot 0
[19:31:35.647] [SEVERE ] player 2 placing token on slot 0
[19:31:35.648] [SEVERE ] removing player 2 token from slot 0
[19:31:35.649] [SEVERE ] player 2 placing token on slot 0
[19:31:35.649] [SEVERE ] removing player 2 token from slot 0
[19:31:35.649] [SEVERE ] player 2 placing token on slot 0
[19:31:35.649] [SEVERE ] removing player 2 token from slot 0
[19:31:35.650] [SEVERE ] player 2 placing token on slot 0
[19:31:35.650] [SEVERE ] removing player 2 token from slot 0
[19:31:35.650] [SEVERE ] player 2 placing token on slot 0
