[19:05:22.605] [INFO   ] thread bguspl.set.Main.main() starting.
[19:05:22.609] [SEVERE ] cannot read configuration file config.properties trying from resources.
[19:05:22.610] [SEVERE ] configuration file was loaded from resources directory.
[19:05:23.233] [INFO   ] thread dealer starting.
[19:05:23.235] [INFO   ] thread dealer starting.
[19:05:23.236] [INFO   ] thread Thread-2 starting.
[19:05:23.236] [INFO   ] thread Thread-1 starting.
[19:05:23.237] [INFO   ] thread computer-1 starting.
[19:05:23.344] [SEVERE ] placing card 66 in slot 0
[19:05:23.344] [SEVERE ] player 2 placing token on slot 0
[19:05:23.345] [SEVERE ] removing player 2 token from slot 0
[19:05:23.346] [SEVERE ] player 2 placing token on slot 0
[19:05:23.346] [SEVERE ] removing player 2 token from slot 0
[19:05:23.346] [SEVERE ] player 2 placing token on slot 0
[19:05:23.346] [SEVERE ] removing player 2 token from slot 0
[19:05:23.346] [SEVERE ] player 2 placing token on slot 0
[19:05:23.347] [SEVERE ] removing player 2 token from slot 0
[19:05:23.347] [SEVERE ] player 2 placing token on slot 0
[19:05:23.347] [SEVERE ] removing player 2 token from slot 0
[19:05:23.347] [SEVERE ] player 2 placing token on slot 0
[19:05:23.347] [SEVERE ] removing player 2 token from slot 0
[19:05:23.347] [SEVERE ] player 2 placing token on slot 0
[19:05:23.347] [SEVERE ] removing player 2 token from slot 0
[19:05:23.348] [SEVERE ] player 2 placing token on slot 0
[19:05:23.348] [SEVERE ] removing player 2 token from slot 0
[19:05:23.348] [SEVERE ] player 2 placing token on slot 0
[19:05:23.348] [SEVERE ] removing player 2 token from slot 0
[19:05:23.348] [SEVERE ] player 2 placing token on slot 0
[19:05:23.348] [SEVERE ] removing player 2 token from slot 0
[19:05:23.349] [SEVERE ] player 2 placing token on slot 0
[19:05:23.349] [SEVERE ] removing player 2 token from slot 0
[19:05:23.349] [SEVERE ] player 2 placing token on slot 0
[19:05:23.350] [SEVERE ] removing player 2 token from slot 0
[19:05:23.350] [SEVERE ] player 2 placing token on slot 0
[19:05:23.350] [SEVERE ] removing player 2 token from slot 0
[19:05:23.350] [SEVERE ] player 2 placing token on slot 0
[19:05:23.350] [SEVERE ] removing player 2 token from slot 0
[19:05:23.351] [SEVERE ] player 2 placing token on slot 0
[19:05:23.351] [SEVERE ] removing player 2 token from slot 0
[19:05:23.351] [SEVERE ] player 2 placing token on slot 0
[19:05:23.351] [SEVERE ] removing player 2 token from slot 0
[19:05:23.352] [SEVERE ] player 2 placing token on slot 0
[19:05:23.352] [SEVERE ] removing player 2 token from slot 0
[19:05:23.352] [SEVERE ] player 2 placing token on slot 0
[19:05:23.352] [SEVERE ] removing player 2 token from slot 0
[19:05:23.353] [SEVERE ] player 2 placing token on slot 0
[19:05:23.353] [SEVERE ] removing player 2 token from slot 0
[19:05:23.353] [SEVERE ] player 2 placing token on slot 0
[19:05:23.353] [SEVERE ] removing player 2 token from slot 0
[19:05:23.354] [SEVERE ] player 2 placing token on slot 0
[19:05:23.354] [SEVERE ] removing player 2 token from slot 0
[19:05:23.354] [SEVERE ] player 2 placing token on slot 0
[19:05:23.354] [SEVERE ] removing player 2 token from slot 0
[19:05:23.355] [SEVERE ] player 2 placing token on slot 0
[19:05:23.355] [SEVERE ] removing player 2 token from slot 0
[19:05:23.355] [SEVERE ] player 2 placing token on slot 0
[19:05:23.355] [SEVERE ] removing player 2 token from slot 0
[19:05:23.355] [SEVERE ] player 2 placing token on slot 0
[19:05:23.355] [SEVERE ] removing player 2 token from slot 0
[19:05:23.355] [SEVERE ] player 2 placing token on slot 0
[19:05:23.356] [SEVERE ] removing player 2 token from slot 0
[19:05:23.356] [SEVERE ] player 2 placing token on slot 0
[19:05:23.356] [SEVERE ] removing player 2 token from slot 0
[19:05:23.357] [SEVERE ] player 2 placing token on slot 0
[19:05:23.357] [SEVERE ] removing player 2 token from slot 0
[19:05:23.357] [SEVERE ] player 2 placing token on slot 0
[19:05:23.357] [SEVERE ] removing player 2 token from slot 0
[19:05:23.357] [SEVERE ] player 2 placing token on slot 0
[19:05:23.358] [SEVERE ] removing player 2 token from slot 0
[19:05:23.358] [SEVERE ] player 2 placing token on slot 0
[19:05:23.358] [SEVERE ] removing player 2 token from slot 0
[19:05:23.358] [SEVERE ] player 2 placing token on slot 0
[19:05:23.360] [SEVERE ] removing player 2 token from slot 0
[19:05:23.360] [SEVERE ] player 2 placing token on slot 0
[19:05:23.360] [SEVERE ] removing player 2 token from slot 0
[19:05:23.360] [SEVERE ] player 2 placing token on slot 0
[19:05:23.360] [SEVERE ] removing player 2 token from slot 0
[19:05:23.360] [SEVERE ] player 2 placing token on slot 0
[19:05:23.361] [SEVERE ] removing player 2 token from slot 0
[19:05:23.361] [SEVERE ] player 2 placing token on slot 0
[19:05:23.361] [SEVERE ] removing player 2 token from slot 0
[19:05:23.361] [SEVERE ] player 2 placing token on slot 0
[19:05:23.362] [SEVERE ] removing player 2 token from slot 0
[19:05:23.362] [SEVERE ] player 2 placing token on slot 0
[19:05:23.362] [SEVERE ] removing player 2 token from slot 0
[19:05:23.362] [SEVERE ] player 2 placing token on slot 0
[19:05:23.363] [SEVERE ] removing player 2 token from slot 0
[19:05:23.363] [SEVERE ] player 2 placing token on slot 0
[19:05:23.363] [SEVERE ] removing player 2 token from slot 0
[19:05:23.364] [SEVERE ] player 2 placing token on slot 0
[19:05:23.364] [SEVERE ] removing player 2 token from slot 0
[19:05:23.364] [SEVERE ] player 2 placing token on slot 0
[19:05:23.364] [SEVERE ] removing player 2 token from slot 0
[19:05:23.365] [SEVERE ] player 2 placing token on slot 0
[19:05:23.365] [SEVERE ] removing player 2 token from slot 0
[19:05:23.365] [SEVERE ] player 2 placing token on slot 0
[19:05:23.365] [SEVERE ] removing player 2 token from slot 0
[19:05:23.366] [SEVERE ] player 2 placing token on slot 0
[19:05:23.366] [SEVERE ] removing player 2 token from slot 0
[19:05:23.366] [SEVERE ] player 2 placing token on slot 0
[19:05:23.366] [SEVERE ] removing player 2 token from slot 0
[19:05:23.366] [SEVERE ] player 2 placing token on slot 0
[19:05:23.366] [SEVERE ] removing player 2 token from slot 0
[19:05:23.366] [SEVERE ] player 2 placing token on slot 0
[19:05:23.367] [SEVERE ] removing player 2 token from slot 0
[19:05:23.367] [SEVERE ] player 2 placing token on slot 0
[19:05:23.367] [SEVERE ] removing player 2 token from slot 0
[19:05:23.367] [SEVERE ] player 2 placing token on slot 0
[19:05:23.368] [SEVERE ] removing player 2 token from slot 0
[19:05:23.368] [SEVERE ] player 2 placing token on slot 0
[19:05:23.368] [SEVERE ] removing player 2 token from slot 0
[19:05:23.368] [SEVERE ] player 2 placing token on slot 0
[19:05:23.368] [SEVERE ] removing player 2 token from slot 0
[19:05:23.368] [SEVERE ] player 2 placing token on slot 0
[19:05:23.368] [SEVERE ] removing player 2 token from slot 0
[19:05:23.369] [SEVERE ] player 2 placing token on slot 0
[19:05:23.369] [SEVERE ] removing player 2 token from slot 0
[19:05:23.369] [SEVERE ] player 2 placing token on slot 0
[19:05:23.369] [SEVERE ] removing player 2 token from slot 0
[19:05:23.370] [SEVERE ] player 2 placing token on slot 0
[19:05:23.370] [SEVERE ] removing player 2 token from slot 0
[19:05:23.370] [SEVERE ] player 2 placing token on slot 0
[19:05:23.370] [SEVERE ] removing player 2 token from slot 0
[19:05:23.370] [SEVERE ] player 2 placing token on slot 0
[19:05:23.371] [SEVERE ] removing player 2 token from slot 0
[19:05:23.371] [SEVERE ] player 2 placing token on slot 0
[19:05:23.372] [SEVERE ] removing player 2 token from slot 0
[19:05:23.372] [SEVERE ] player 2 placing token on slot 0
[19:05:23.372] [SEVERE ] removing player 2 token from slot 0
[19:05:23.372] [SEVERE ] player 2 placing token on slot 0
[19:05:23.372] [SEVERE ] removing player 2 token from slot 0
[19:05:23.373] [SEVERE ] player 2 placing token on slot 0
[19:05:23.373] [SEVERE ] removing player 2 token from slot 0
[19:05:23.373] [SEVERE ] player 2 placing token on slot 0
[19:05:23.374] [SEVERE ] removing player 2 token from slot 0
[19:05:23.374] [SEVERE ] player 2 placing token on slot 0
[19:05:23.374] [SEVERE ] removing player 2 token from slot 0
[19:05:23.374] [SEVERE ] player 2 placing token on slot 0
[19:05:23.375] [SEVERE ] removing player 2 token from slot 0
[19:05:23.375] [SEVERE ] player 2 placing token on slot 0
[19:05:23.375] [SEVERE ] removing player 2 token from slot 0
[19:05:23.376] [SEVERE ] player 2 placing token on slot 0
[19:05:23.376] [SEVERE ] removing player 2 token from slot 0
[19:05:23.376] [SEVERE ] player 2 placing token on slot 0
[19:05:23.376] [SEVERE ] removing player 2 token from slot 0
[19:05:23.377] [SEVERE ] player 2 placing token on slot 0
[19:05:23.377] [SEVERE ] removing player 2 token from slot 0
[19:05:23.377] [SEVERE ] player 2 placing token on slot 0
[19:05:23.377] [SEVERE ] removing player 2 token from slot 0
[19:05:23.377] [SEVERE ] player 2 placing token on slot 0
[19:05:23.378] [SEVERE ] removing player 2 token from slot 0
[19:05:23.378] [SEVERE ] player 2 placing token on slot 0
[19:05:23.378] [SEVERE ] removing player 2 token from slot 0
[19:05:23.378] [SEVERE ] player 2 placing token on slot 0
[19:05:23.378] [SEVERE ] removing player 2 token from slot 0
[19:05:23.378] [SEVERE ] player 2 placing token on slot 0
[19:05:23.379] [SEVERE ] removing player 2 token from slot 0
[19:05:23.380] [SEVERE ] player 2 placing token on slot 0
[19:05:23.380] [SEVERE ] removing player 2 token from slot 0
[19:05:23.380] [SEVERE ] player 2 placing token on slot 0
[19:05:23.381] [SEVERE ] removing player 2 token from slot 0
[19:05:23.381] [SEVERE ] player 2 placing token on slot 0
[19:05:23.381] [SEVERE ] removing player 2 token from slot 0
[19:05:23.382] [SEVERE ] player 2 placing token on slot 0
[19:05:23.382] [SEVERE ] removing player 2 token from slot 0
[19:05:23.383] [SEVERE ] player 2 placing token on slot 0
[19:05:23.383] [SEVERE ] removing player 2 token from slot 0
[19:05:23.383] [SEVERE ] player 2 placing token on slot 0
[19:05:23.383] [SEVERE ] removing player 2 token from slot 0
[19:05:23.384] [SEVERE ] player 2 placing token on slot 0
[19:05:23.384] [SEVERE ] removing player 2 token from slot 0
[19:05:23.384] [SEVERE ] player 2 placing token on slot 0
[19:05:23.384] [SEVERE ] removing player 2 token from slot 0
[19:05:23.385] [SEVERE ] player 2 placing token on slot 0
[19:05:23.385] [SEVERE ] removing player 2 token from slot 0
[19:05:23.385] [SEVERE ] player 2 placing token on slot 0
[19:05:23.386] [SEVERE ] removing player 2 token from slot 0
[19:05:23.386] [SEVERE ] player 2 placing token on slot 0
[19:05:23.386] [SEVERE ] removing player 2 token from slot 0
[19:05:23.386] [SEVERE ] player 2 placing token on slot 0
[19:05:23.387] [SEVERE ] removing player 2 token from slot 0
[19:05:23.387] [SEVERE ] player 2 placing token on slot 0
[19:05:23.387] [SEVERE ] removing player 2 token from slot 0
[19:05:23.387] [SEVERE ] player 2 placing token on slot 0
[19:05:23.387] [SEVERE ] removing player 2 token from slot 0
[19:05:23.388] [SEVERE ] player 2 placing token on slot 0
[19:05:23.388] [SEVERE ] removing player 2 token from slot 0
[19:05:23.388] [SEVERE ] player 2 placing token on slot 0
[19:05:23.388] [SEVERE ] removing player 2 token from slot 0
[19:05:23.388] [SEVERE ] player 2 placing token on slot 0
[19:05:23.388] [SEVERE ] removing player 2 token from slot 0
[19:05:23.388] [SEVERE ] player 2 placing token on slot 0
[19:05:23.389] [SEVERE ] removing player 2 token from slot 0
[19:05:23.389] [SEVERE ] player 2 placing token on slot 0
[19:05:23.389] [SEVERE ] removing player 2 token from slot 0
[19:05:23.389] [SEVERE ] player 2 placing token on slot 0
[19:05:23.389] [SEVERE ] removing player 2 token from slot 0
[19:05:23.390] [SEVERE ] player 2 placing token on slot 0
[19:05:23.390] [SEVERE ] removing player 2 token from slot 0
[19:05:23.390] [SEVERE ] player 2 placing token on slot 0
[19:05:23.390] [SEVERE ] removing player 2 token from slot 0
[19:05:23.390] [SEVERE ] player 2 placing token on slot 0
[19:05:23.390] [SEVERE ] removing player 2 token from slot 0
[19:05:23.391] [SEVERE ] player 2 placing token on slot 0
[19:05:23.391] [SEVERE ] removing player 2 token from slot 0
[19:05:23.391] [SEVERE ] player 2 placing token on slot 0
[19:05:23.391] [SEVERE ] removing player 2 token from slot 0
[19:05:23.391] [SEVERE ] player 2 placing token on slot 0
[19:05:23.391] [SEVERE ] removing player 2 token from slot 0
[19:05:23.391] [SEVERE ] player 2 placing token on slot 0
[19:05:23.392] [SEVERE ] removing player 2 token from slot 0
[19:05:23.392] [SEVERE ] player 2 placing token on slot 0
[19:05:23.392] [SEVERE ] removing player 2 token from slot 0
[19:05:23.393] [SEVERE ] player 2 placing token on slot 0
[19:05:23.393] [SEVERE ] removing player 2 token from slot 0
[19:05:23.393] [SEVERE ] player 2 placing token on slot 0
[19:05:23.393] [SEVERE ] removing player 2 token from slot 0
[19:05:23.393] [SEVERE ] player 2 placing token on slot 0
[19:05:23.393] [SEVERE ] removing player 2 token from slot 0
[19:05:23.393] [SEVERE ] player 2 placing token on slot 0
[19:05:23.394] [SEVERE ] removing player 2 token from slot 0
[19:05:23.394] [SEVERE ] player 2 placing token on slot 0
[19:05:23.394] [SEVERE ] removing player 2 token from slot 0
[19:05:23.394] [SEVERE ] player 2 placing token on slot 0
[19:05:23.394] [SEVERE ] removing player 2 token from slot 0
