[20:45:56.083] [INFO   ] thread bguspl.set.Main.main() starting.
[20:45:56.085] [SEVERE ] cannot read configuration file config.properties trying from resources.
[20:45:56.087] [SEVERE ] configuration file was loaded from resources directory.
[20:45:56.684] [INFO   ] thread dealer starting.
[20:45:56.685] [INFO   ] thread dealer starting.
[20:45:56.686] [INFO   ] thread Thread-1 starting.
[20:45:56.686] [INFO   ] thread Thread-2 starting.
[20:45:56.687] [INFO   ] thread computer-1 starting.
[20:45:56.807] [SEVERE ] placing card 72 in slot 9
[20:45:56.807] [SEVERE ] player 2 placing token on slot 9
[20:45:56.813] [SEVERE ] removing player 2 token from slot 9
[20:45:56.815] [SEVERE ] player 2 placing token on slot 9
[20:45:56.816] [SEVERE ] removing player 2 token from slot 9
[20:45:56.816] [SEVERE ] player 2 placing token on slot 9
[20:45:56.816] [SEVERE ] removing player 2 token from slot 9
[20:45:56.818] [SEVERE ] player 2 placing token on slot 9
[20:45:56.818] [SEVERE ] removing player 2 token from slot 9
[20:45:56.818] [SEVERE ] player 2 placing token on slot 9
[20:45:56.819] [SEVERE ] removing player 2 token from slot 9
[20:45:56.819] [SEVERE ] player 2 placing token on slot 9
[20:45:56.820] [SEVERE ] removing player 2 token from slot 9
[20:45:56.820] [SEVERE ] player 2 placing token on slot 9
[20:45:56.820] [SEVERE ] removing player 2 token from slot 9
[20:45:56.821] [SEVERE ] player 2 placing token on slot 9
[20:45:56.821] [SEVERE ] removing player 2 token from slot 9
[20:45:56.821] [SEVERE ] player 2 placing token on slot 9
[20:45:56.822] [SEVERE ] removing player 2 token from slot 9
[20:45:56.822] [SEVERE ] player 2 placing token on slot 9
[20:45:56.822] [SEVERE ] removing player 2 token from slot 9
[20:45:56.823] [SEVERE ] player 2 placing token on slot 9
[20:45:56.824] [SEVERE ] removing player 2 token from slot 9
[20:45:56.824] [SEVERE ] player 2 placing token on slot 9
[20:45:56.824] [SEVERE ] removing player 2 token from slot 9
[20:45:56.825] [SEVERE ] player 2 placing token on slot 9
[20:45:56.825] [SEVERE ] removing player 2 token from slot 9
[20:45:56.825] [SEVERE ] player 2 placing token on slot 9
[20:45:56.826] [SEVERE ] removing player 2 token from slot 9
[20:45:56.826] [SEVERE ] player 2 placing token on slot 9
[20:45:56.826] [SEVERE ] removing player 2 token from slot 9
[20:45:56.827] [SEVERE ] player 2 placing token on slot 9
[20:45:56.827] [SEVERE ] removing player 2 token from slot 9
[20:45:56.827] [SEVERE ] player 2 placing token on slot 9
[20:45:56.829] [SEVERE ] removing player 2 token from slot 9
[20:45:56.829] [SEVERE ] player 2 placing token on slot 9
[20:45:56.829] [SEVERE ] removing player 2 token from slot 9
[20:45:56.830] [SEVERE ] player 2 placing token on slot 9
[20:45:56.830] [SEVERE ] removing player 2 token from slot 9
[20:45:56.830] [SEVERE ] player 2 placing token on slot 9
[20:45:56.831] [SEVERE ] removing player 2 token from slot 9
[20:45:56.831] [SEVERE ] player 2 placing token on slot 9
[20:45:56.831] [SEVERE ] removing player 2 token from slot 9
[20:45:56.832] [SEVERE ] player 2 placing token on slot 9
[20:45:56.832] [SEVERE ] removing player 2 token from slot 9
[20:45:56.832] [SEVERE ] player 2 placing token on slot 9
[20:45:56.832] [SEVERE ] removing player 2 token from slot 9
[20:45:56.832] [SEVERE ] player 2 placing token on slot 9
[20:45:56.833] [SEVERE ] removing player 2 token from slot 9
[20:45:56.833] [SEVERE ] player 2 placing token on slot 9
[20:45:56.834] [SEVERE ] removing player 2 token from slot 9
[20:45:56.834] [SEVERE ] player 2 placing token on slot 9
[20:45:56.834] [SEVERE ] removing player 2 token from slot 9
[20:45:56.834] [SEVERE ] player 2 placing token on slot 9
[20:45:56.835] [SEVERE ] removing player 2 token from slot 9
[20:45:56.835] [SEVERE ] player 2 placing token on slot 9
[20:45:56.835] [SEVERE ] removing player 2 token from slot 9
[20:45:56.836] [SEVERE ] player 2 placing token on slot 9
[20:45:56.836] [SEVERE ] removing player 2 token from slot 9
[20:45:56.837] [SEVERE ] player 2 placing token on slot 9
[20:45:56.838] [SEVERE ] removing player 2 token from slot 9
[20:45:56.839] [SEVERE ] player 2 placing token on slot 9
[20:45:56.839] [SEVERE ] removing player 2 token from slot 9
[20:45:56.840] [SEVERE ] player 2 placing token on slot 9
[20:45:56.840] [SEVERE ] removing player 2 token from slot 9
[20:45:56.840] [SEVERE ] player 2 placing token on slot 9
[20:45:56.840] [SEVERE ] removing player 2 token from slot 9
[20:45:56.841] [SEVERE ] player 2 placing token on slot 9
[20:45:56.841] [SEVERE ] removing player 2 token from slot 9
[20:45:56.841] [SEVERE ] player 2 placing token on slot 9
[20:45:56.841] [SEVERE ] removing player 2 token from slot 9
[20:45:56.841] [SEVERE ] player 2 placing token on slot 9
[20:45:56.843] [SEVERE ] removing player 2 token from slot 9
[20:45:56.843] [SEVERE ] player 2 placing token on slot 9
[20:45:56.843] [SEVERE ] removing player 2 token from slot 9
[20:45:56.844] [SEVERE ] player 2 placing token on slot 9
[20:45:56.844] [SEVERE ] removing player 2 token from slot 9
[20:45:56.844] [SEVERE ] player 2 placing token on slot 9
[20:45:56.845] [SEVERE ] removing player 2 token from slot 9
[20:45:56.845] [SEVERE ] player 2 placing token on slot 9
[20:45:56.845] [SEVERE ] removing player 2 token from slot 9
[20:45:56.845] [SEVERE ] player 2 placing token on slot 9
[20:45:56.846] [SEVERE ] removing player 2 token from slot 9
[20:45:56.846] [SEVERE ] player 2 placing token on slot 9
[20:45:56.846] [SEVERE ] removing player 2 token from slot 9
[20:45:56.846] [SEVERE ] player 2 placing token on slot 9
[20:45:56.847] [SEVERE ] removing player 2 token from slot 9
[20:45:56.847] [SEVERE ] player 2 placing token on slot 9
[20:45:56.847] [SEVERE ] removing player 2 token from slot 9
[20:45:56.848] [SEVERE ] player 2 placing token on slot 9
[20:45:56.848] [SEVERE ] removing player 2 token from slot 9
[20:45:56.848] [SEVERE ] player 2 placing token on slot 9
[20:45:56.848] [SEVERE ] removing player 2 token from slot 9
[20:45:56.849] [SEVERE ] player 2 placing token on slot 9
[20:45:56.849] [SEVERE ] removing player 2 token from slot 9
[20:45:56.850] [SEVERE ] player 2 placing token on slot 9
[20:45:56.850] [SEVERE ] removing player 2 token from slot 9
[20:45:56.851] [SEVERE ] player 2 placing token on slot 9
[20:45:56.851] [SEVERE ] removing player 2 token from slot 9
[20:45:56.851] [SEVERE ] player 2 placing token on slot 9
