[19:28:40.688] [INFO   ] thread bguspl.set.Main.main() starting.
[19:28:40.693] [SEVERE ] cannot read configuration file config.properties trying from resources.
[19:28:40.693] [SEVERE ] configuration file was loaded from resources directory.
[19:28:41.409] [INFO   ] thread dealer starting.
[19:28:41.412] [INFO   ] thread dealer starting.
[19:28:41.415] [INFO   ] thread Thread-1 starting.
[19:28:41.415] [INFO   ] thread Thread-2 starting.
[19:28:41.417] [INFO   ] thread computer-1 starting.
[19:28:41.530] [SEVERE ] player 2 placing token on slot 0
[19:28:41.530] [SEVERE ] placing card 24 in slot 0
[19:28:41.533] [SEVERE ] removing player 2 token from slot 0
[19:28:41.534] [SEVERE ] player 2 placing token on slot 0
[19:28:41.534] [SEVERE ] removing player 2 token from slot 0
[19:28:41.536] [SEVERE ] player 2 placing token on slot 0
[19:28:41.536] [SEVERE ] removing player 2 token from slot 0
[19:28:41.536] [SEVERE ] player 2 placing token on slot 0
[19:28:41.537] [SEVERE ] removing player 2 token from slot 0
[19:28:41.537] [SEVERE ] player 2 placing token on slot 0
[19:28:41.537] [SEVERE ] removing player 2 token from slot 0
[19:28:41.537] [SEVERE ] player 2 placing token on slot 0
[19:28:41.539] [SEVERE ] removing player 2 token from slot 0
[19:28:41.539] [SEVERE ] player 2 placing token on slot 0
[19:28:41.539] [SEVERE ] removing player 2 token from slot 0
[19:28:41.541] [SEVERE ] player 2 placing token on slot 0
[19:28:41.542] [SEVERE ] removing player 2 token from slot 0
[19:28:41.542] [SEVERE ] player 2 placing token on slot 0
[19:28:41.543] [SEVERE ] removing player 2 token from slot 0
[19:28:41.543] [SEVERE ] player 2 placing token on slot 0
[19:28:41.543] [SEVERE ] removing player 2 token from slot 0
[19:28:41.544] [SEVERE ] player 2 placing token on slot 0
[19:28:41.544] [SEVERE ] removing player 2 token from slot 0
[19:28:41.544] [SEVERE ] player 2 placing token on slot 0
[19:28:41.544] [SEVERE ] removing player 2 token from slot 0
[19:28:41.544] [SEVERE ] player 2 placing token on slot 0
[19:28:41.544] [SEVERE ] removing player 2 token from slot 0
[19:28:41.545] [SEVERE ] player 2 placing token on slot 0
[19:28:41.545] [SEVERE ] removing player 2 token from slot 0
[19:28:41.545] [SEVERE ] player 2 placing token on slot 0
[19:28:41.545] [SEVERE ] removing player 2 token from slot 0
[19:28:41.545] [SEVERE ] player 2 placing token on slot 0
[19:28:41.547] [SEVERE ] removing player 2 token from slot 0
[19:28:41.547] [SEVERE ] player 2 placing token on slot 0
[19:28:41.547] [SEVERE ] removing player 2 token from slot 0
[19:28:41.548] [SEVERE ] player 2 placing token on slot 0
[19:28:41.548] [SEVERE ] removing player 2 token from slot 0
[19:28:41.548] [SEVERE ] player 2 placing token on slot 0
[19:28:41.548] [SEVERE ] removing player 2 token from slot 0
[19:28:41.548] [SEVERE ] player 2 placing token on slot 0
[19:28:41.548] [SEVERE ] removing player 2 token from slot 0
[19:28:41.548] [SEVERE ] player 2 placing token on slot 0
[19:28:41.548] [SEVERE ] removing player 2 token from slot 0
[19:28:41.550] [SEVERE ] player 2 placing token on slot 0
[19:28:41.550] [SEVERE ] removing player 2 token from slot 0
