[20:45:20.905] [INFO   ] thread bguspl.set.Main.main() starting.
[20:45:20.908] [SEVERE ] cannot read configuration file config.properties trying from resources.
[20:45:20.909] [SEVERE ] configuration file was loaded from resources directory.
[20:45:21.462] [INFO   ] thread dealer starting.
[20:45:21.463] [INFO   ] thread dealer starting.
[20:45:21.464] [INFO   ] thread Thread-1 starting.
[20:45:21.464] [INFO   ] thread Thread-2 starting.
[20:45:21.465] [INFO   ] thread computer-1 starting.
[20:45:21.577] [SEVERE ] player 2 placing token on slot 3
[20:45:21.577] [SEVERE ] placing card 72 in slot 3
[20:45:21.582] [SEVERE ] removing player 2 token from slot 3
[20:45:21.583] [SEVERE ] player 2 placing token on slot 3
[20:45:21.583] [SEVERE ] removing player 2 token from slot 3
[20:45:21.583] [SEVERE ] player 2 placing token on slot 3
[20:45:21.585] [SEVERE ] removing player 2 token from slot 3
[20:45:21.585] [SEVERE ] player 2 placing token on slot 3
[20:45:21.586] [SEVERE ] removing player 2 token from slot 3
[20:45:21.586] [SEVERE ] player 2 placing token on slot 3
[20:45:21.586] [SEVERE ] removing player 2 token from slot 3
[20:45:21.586] [SEVERE ] player 2 placing token on slot 3
[20:45:21.586] [SEVERE ] removing player 2 token from slot 3
[20:45:21.586] [SEVERE ] player 2 placing token on slot 3
[20:45:21.588] [SEVERE ] removing player 2 token from slot 3
[20:45:21.588] [SEVERE ] player 2 placing token on slot 3
[20:45:21.588] [SEVERE ] removing player 2 token from slot 3
[20:45:21.588] [SEVERE ] player 2 placing token on slot 3
[20:45:21.588] [SEVERE ] removing player 2 token from slot 3
[20:45:21.589] [SEVERE ] player 2 placing token on slot 3
[20:45:21.589] [SEVERE ] removing player 2 token from slot 3
[20:45:21.589] [SEVERE ] player 2 placing token on slot 3
[20:45:21.589] [SEVERE ] removing player 2 token from slot 3
[20:45:21.591] [SEVERE ] player 2 placing token on slot 3
[20:45:21.591] [SEVERE ] removing player 2 token from slot 3
[20:45:21.591] [SEVERE ] player 2 placing token on slot 3
[20:45:21.591] [SEVERE ] removing player 2 token from slot 3
[20:45:21.593] [SEVERE ] player 2 placing token on slot 3
[20:45:21.593] [SEVERE ] removing player 2 token from slot 3
[20:45:21.593] [SEVERE ] player 2 placing token on slot 3
[20:45:21.593] [SEVERE ] removing player 2 token from slot 3
[20:45:21.593] [SEVERE ] player 2 placing token on slot 3
[20:45:21.594] [SEVERE ] removing player 2 token from slot 3
[20:45:21.595] [SEVERE ] player 2 placing token on slot 3
[20:45:21.595] [SEVERE ] removing player 2 token from slot 3
[20:45:21.595] [SEVERE ] player 2 placing token on slot 3
[20:45:21.596] [SEVERE ] removing player 2 token from slot 3
[20:45:21.596] [SEVERE ] player 2 placing token on slot 3
[20:45:21.596] [SEVERE ] removing player 2 token from slot 3
[20:45:21.596] [SEVERE ] player 2 placing token on slot 3
[20:45:21.597] [SEVERE ] removing player 2 token from slot 3
[20:45:21.597] [SEVERE ] player 2 placing token on slot 3
[20:45:21.597] [SEVERE ] removing player 2 token from slot 3
[20:45:21.597] [SEVERE ] player 2 placing token on slot 3
[20:45:21.597] [SEVERE ] removing player 2 token from slot 3
[20:45:21.599] [SEVERE ] player 2 placing token on slot 3
[20:45:21.599] [SEVERE ] removing player 2 token from slot 3
[20:45:21.599] [SEVERE ] player 2 placing token on slot 3
[20:45:21.599] [SEVERE ] removing player 2 token from slot 3
[20:45:21.600] [SEVERE ] player 2 placing token on slot 3
[20:45:21.600] [SEVERE ] removing player 2 token from slot 3
[20:45:21.600] [SEVERE ] player 2 placing token on slot 3
[20:45:21.600] [SEVERE ] removing player 2 token from slot 3
[20:45:21.600] [SEVERE ] player 2 placing token on slot 3
[20:45:21.602] [SEVERE ] removing player 2 token from slot 3
[20:45:21.602] [SEVERE ] player 2 placing token on slot 3
[20:45:21.603] [SEVERE ] removing player 2 token from slot 3
[20:45:21.603] [SEVERE ] player 2 placing token on slot 3
[20:45:21.603] [SEVERE ] removing player 2 token from slot 3
[20:45:21.605] [SEVERE ] player 2 placing token on slot 3
[20:45:21.605] [SEVERE ] removing player 2 token from slot 3
[20:45:21.605] [SEVERE ] player 2 placing token on slot 3
[20:45:21.605] [SEVERE ] removing player 2 token from slot 3
[20:45:21.605] [SEVERE ] player 2 placing token on slot 3
[20:45:21.606] [SEVERE ] removing player 2 token from slot 3
[20:45:21.606] [SEVERE ] player 2 placing token on slot 3
[20:45:21.606] [SEVERE ] removing player 2 token from slot 3
[20:45:21.606] [SEVERE ] player 2 placing token on slot 3
[20:45:21.608] [SEVERE ] removing player 2 token from slot 3
[20:45:21.608] [SEVERE ] player 2 placing token on slot 3
[20:45:21.608] [SEVERE ] removing player 2 token from slot 3
[20:45:21.608] [SEVERE ] player 2 placing token on slot 3
[20:45:21.610] [SEVERE ] removing player 2 token from slot 3
[20:45:21.610] [SEVERE ] player 2 placing token on slot 3
[20:45:21.610] [SEVERE ] removing player 2 token from slot 3
[20:45:21.610] [SEVERE ] player 2 placing token on slot 3
[20:45:21.610] [SEVERE ] removing player 2 token from slot 3
[20:45:21.611] [SEVERE ] player 2 placing token on slot 3
[20:45:21.611] [SEVERE ] removing player 2 token from slot 3
[20:45:21.611] [SEVERE ] player 2 placing token on slot 3
[20:45:21.611] [SEVERE ] removing player 2 token from slot 3
[20:45:21.611] [SEVERE ] player 2 placing token on slot 3
[20:45:21.611] [SEVERE ] removing player 2 token from slot 3
[20:45:21.611] [SEVERE ] player 2 placing token on slot 3
[20:45:21.613] [SEVERE ] removing player 2 token from slot 3
[20:45:21.613] [SEVERE ] player 2 placing token on slot 3
[20:45:21.613] [SEVERE ] removing player 2 token from slot 3
[20:45:21.614] [SEVERE ] player 2 placing token on slot 3
[20:45:21.614] [SEVERE ] removing player 2 token from slot 3
[20:45:21.615] [SEVERE ] player 2 placing token on slot 3
[20:45:21.615] [SEVERE ] removing player 2 token from slot 3
[20:45:21.615] [SEVERE ] player 2 placing token on slot 3
[20:45:21.616] [SEVERE ] removing player 2 token from slot 3
[20:45:21.616] [SEVERE ] player 2 placing token on slot 3
[20:45:21.616] [SEVERE ] removing player 2 token from slot 3
[20:45:21.617] [SEVERE ] player 2 placing token on slot 3
[20:45:21.618] [SEVERE ] removing player 2 token from slot 3
[20:45:21.618] [SEVERE ] player 2 placing token on slot 3
[20:45:21.618] [SEVERE ] removing player 2 token from slot 3
[20:45:21.619] [SEVERE ] player 2 placing token on slot 3
[20:45:21.620] [SEVERE ] removing player 2 token from slot 3
[20:45:21.620] [SEVERE ] player 2 placing token on slot 3
[20:45:21.620] [SEVERE ] removing player 2 token from slot 3
[20:45:21.620] [SEVERE ] player 2 placing token on slot 3
[20:45:21.622] [SEVERE ] removing player 2 token from slot 3
[20:45:21.622] [SEVERE ] player 2 placing token on slot 3
[20:45:21.622] [SEVERE ] removing player 2 token from slot 3
[20:45:21.622] [SEVERE ] player 2 placing token on slot 3
[20:45:21.622] [SEVERE ] removing player 2 token from slot 3
[20:45:21.622] [SEVERE ] player 2 placing token on slot 3
[20:45:21.624] [SEVERE ] removing player 2 token from slot 3
[20:45:21.624] [SEVERE ] player 2 placing token on slot 3
[20:45:21.624] [SEVERE ] removing player 2 token from slot 3
[20:45:21.625] [SEVERE ] player 2 placing token on slot 3
[20:45:21.625] [SEVERE ] removing player 2 token from slot 3
[20:45:21.625] [SEVERE ] player 2 placing token on slot 3
[20:45:21.625] [SEVERE ] removing player 2 token from slot 3
[20:45:21.625] [SEVERE ] player 2 placing token on slot 3
[20:45:21.627] [SEVERE ] removing player 2 token from slot 3
[20:45:21.627] [SEVERE ] player 2 placing token on slot 3
[20:45:21.627] [SEVERE ] removing player 2 token from slot 3
[20:45:21.628] [SEVERE ] player 2 placing token on slot 3
[20:45:21.628] [SEVERE ] removing player 2 token from slot 3
[20:45:21.628] [SEVERE ] player 2 placing token on slot 3
[20:45:21.628] [SEVERE ] removing player 2 token from slot 3
[20:45:21.628] [SEVERE ] player 2 placing token on slot 3
[20:45:21.630] [SEVERE ] removing player 2 token from slot 3
[20:45:21.630] [SEVERE ] player 2 placing token on slot 3
[20:45:21.630] [SEVERE ] removing player 2 token from slot 3
[20:45:21.630] [SEVERE ] player 2 placing token on slot 3
[20:45:21.630] [SEVERE ] removing player 2 token from slot 3
[20:45:21.630] [SEVERE ] player 2 placing token on slot 3
[20:45:21.631] [SEVERE ] removing player 2 token from slot 3
[20:45:21.631] [SEVERE ] player 2 placing token on slot 3
[20:45:21.631] [SEVERE ] removing player 2 token from slot 3
[20:45:21.631] [SEVERE ] player 2 placing token on slot 3
[20:45:21.631] [SEVERE ] removing player 2 token from slot 3
[20:45:21.631] [SEVERE ] player 2 placing token on slot 3
[20:45:21.633] [SEVERE ] removing player 2 token from slot 3
[20:45:21.633] [SEVERE ] player 2 placing token on slot 3
[20:45:21.633] [SEVERE ] removing player 2 token from slot 3
[20:45:21.633] [SEVERE ] player 2 placing token on slot 3
[20:45:21.633] [SEVERE ] removing player 2 token from slot 3
[20:45:21.634] [SEVERE ] player 2 placing token on slot 3
[20:45:21.635] [SEVERE ] removing player 2 token from slot 3
[20:45:21.635] [SEVERE ] player 2 placing token on slot 3
[20:45:21.635] [SEVERE ] removing player 2 token from slot 3
[20:45:21.635] [SEVERE ] player 2 placing token on slot 3
[20:45:21.636] [SEVERE ] removing player 2 token from slot 3
[20:45:21.636] [SEVERE ] player 2 placing token on slot 3
[20:45:21.636] [SEVERE ] removing player 2 token from slot 3
[20:45:21.636] [SEVERE ] player 2 placing token on slot 3
[20:45:21.636] [SEVERE ] removing player 2 token from slot 3
[20:45:21.637] [SEVERE ] player 2 placing token on slot 3
[20:45:21.637] [SEVERE ] removing player 2 token from slot 3
[20:45:21.637] [SEVERE ] player 2 placing token on slot 3
[20:45:21.637] [SEVERE ] removing player 2 token from slot 3
[20:45:21.639] [SEVERE ] player 2 placing token on slot 3
[20:45:21.639] [SEVERE ] removing player 2 token from slot 3
[20:45:21.639] [SEVERE ] player 2 placing token on slot 3
[20:45:21.639] [SEVERE ] removing player 2 token from slot 3
[20:45:21.639] [SEVERE ] player 2 placing token on slot 3
[20:45:21.641] [SEVERE ] removing player 2 token from slot 3
[20:45:21.641] [SEVERE ] player 2 placing token on slot 3
[20:45:21.641] [SEVERE ] removing player 2 token from slot 3
[20:45:21.641] [SEVERE ] player 2 placing token on slot 3
