[19:19:06.593] [INFO   ] thread bguspl.set.Main.main() starting.
[19:19:06.597] [SEVERE ] cannot read configuration file config.properties trying from resources.
[19:19:06.598] [SEVERE ] configuration file was loaded from resources directory.
[19:19:07.229] [INFO   ] thread dealer starting.
[19:19:07.231] [INFO   ] thread dealer starting.
[19:19:07.232] [INFO   ] thread Thread-1 starting.
[19:19:07.232] [INFO   ] thread Thread-2 starting.
[19:19:07.233] [INFO   ] thread computer-1 starting.
[19:19:07.341] [SEVERE ] player 2 placing token on slot 0
[19:19:07.341] [SEVERE ] placing card 75 in slot 0
[19:19:07.345] [SEVERE ] removing player 2 token from slot 0
[19:19:07.347] [SEVERE ] player 2 placing token on slot 0
[19:19:07.347] [SEVERE ] removing player 2 token from slot 0
[19:19:07.348] [SEVERE ] player 2 placing token on slot 0
[19:19:07.348] [SEVERE ] removing player 2 token from slot 0
[19:19:07.349] [SEVERE ] player 2 placing token on slot 0
[19:19:07.349] [SEVERE ] removing player 2 token from slot 0
[19:19:07.350] [SEVERE ] player 2 placing token on slot 0
[19:19:07.350] [SEVERE ] removing player 2 token from slot 0
[19:19:07.351] [SEVERE ] player 2 placing token on slot 0
[19:19:07.351] [SEVERE ] removing player 2 token from slot 0
[19:19:07.352] [SEVERE ] player 2 placing token on slot 0
[19:19:07.352] [SEVERE ] removing player 2 token from slot 0
[19:19:07.353] [SEVERE ] player 2 placing token on slot 0
[19:19:07.353] [SEVERE ] removing player 2 token from slot 0
[19:19:07.353] [SEVERE ] player 2 placing token on slot 0
[19:19:07.353] [SEVERE ] removing player 2 token from slot 0
[19:19:07.353] [SEVERE ] player 2 placing token on slot 0
[19:19:07.354] [SEVERE ] removing player 2 token from slot 0
[19:19:07.354] [SEVERE ] player 2 placing token on slot 0
[19:19:07.354] [SEVERE ] removing player 2 token from slot 0
[19:19:07.354] [SEVERE ] player 2 placing token on slot 0
[19:19:07.354] [SEVERE ] removing player 2 token from slot 0
[19:19:07.355] [SEVERE ] player 2 placing token on slot 0
[19:19:07.355] [SEVERE ] removing player 2 token from slot 0
[19:19:07.355] [SEVERE ] player 2 placing token on slot 0
[19:19:07.356] [SEVERE ] removing player 2 token from slot 0
[19:19:07.356] [SEVERE ] player 2 placing token on slot 0
[19:19:07.356] [SEVERE ] removing player 2 token from slot 0
[19:19:07.356] [SEVERE ] player 2 placing token on slot 0
[19:19:07.357] [SEVERE ] removing player 2 token from slot 0
[19:19:07.357] [SEVERE ] player 2 placing token on slot 0
[19:19:07.357] [SEVERE ] removing player 2 token from slot 0
[19:19:07.357] [SEVERE ] player 2 placing token on slot 0
[19:19:07.358] [SEVERE ] removing player 2 token from slot 0
[19:19:07.358] [SEVERE ] player 2 placing token on slot 0
[19:19:07.358] [SEVERE ] removing player 2 token from slot 0
[19:19:07.358] [SEVERE ] player 2 placing token on slot 0
[19:19:07.359] [SEVERE ] removing player 2 token from slot 0
[19:19:07.359] [SEVERE ] player 2 placing token on slot 0
[19:19:07.359] [SEVERE ] removing player 2 token from slot 0
[19:19:07.360] [SEVERE ] player 2 placing token on slot 0
[19:19:07.360] [SEVERE ] removing player 2 token from slot 0
[19:19:07.361] [SEVERE ] player 2 placing token on slot 0
[19:19:07.361] [SEVERE ] removing player 2 token from slot 0
[19:19:07.362] [SEVERE ] player 2 placing token on slot 0
[19:19:07.362] [SEVERE ] removing player 2 token from slot 0
[19:19:07.362] [SEVERE ] player 2 placing token on slot 0
[19:19:07.362] [SEVERE ] removing player 2 token from slot 0
[19:19:07.362] [SEVERE ] player 2 placing token on slot 0
[19:19:07.362] [SEVERE ] removing player 2 token from slot 0
[19:19:07.363] [SEVERE ] player 2 placing token on slot 0
[19:19:07.363] [SEVERE ] removing player 2 token from slot 0
[19:19:07.363] [SEVERE ] player 2 placing token on slot 0
[19:19:07.363] [SEVERE ] removing player 2 token from slot 0
[19:19:07.363] [SEVERE ] player 2 placing token on slot 0
[19:19:07.364] [SEVERE ] removing player 2 token from slot 0
[19:19:07.364] [SEVERE ] player 2 placing token on slot 0
[19:19:07.365] [SEVERE ] removing player 2 token from slot 0
[19:19:07.365] [SEVERE ] player 2 placing token on slot 0
[19:19:07.365] [SEVERE ] removing player 2 token from slot 0
[19:19:07.366] [SEVERE ] player 2 placing token on slot 0
[19:19:07.366] [SEVERE ] removing player 2 token from slot 0
[19:19:07.367] [SEVERE ] player 2 placing token on slot 0
[19:19:07.367] [SEVERE ] removing player 2 token from slot 0
[19:19:07.367] [SEVERE ] player 2 placing token on slot 0
[19:19:07.368] [SEVERE ] removing player 2 token from slot 0
[19:19:07.368] [SEVERE ] player 2 placing token on slot 0
[19:19:07.368] [SEVERE ] removing player 2 token from slot 0
[19:19:07.368] [SEVERE ] player 2 placing token on slot 0
[19:19:07.368] [SEVERE ] removing player 2 token from slot 0
[19:19:07.368] [SEVERE ] player 2 placing token on slot 0
[19:19:07.369] [SEVERE ] removing player 2 token from slot 0
[19:19:07.369] [SEVERE ] player 2 placing token on slot 0
[19:19:07.369] [SEVERE ] removing player 2 token from slot 0
[19:19:07.370] [SEVERE ] player 2 placing token on slot 0
[19:19:07.370] [SEVERE ] removing player 2 token from slot 0
[19:19:07.370] [SEVERE ] player 2 placing token on slot 0
[19:19:07.371] [SEVERE ] removing player 2 token from slot 0
[19:19:07.371] [SEVERE ] player 2 placing token on slot 0
[19:19:07.371] [SEVERE ] removing player 2 token from slot 0
[19:19:07.371] [SEVERE ] player 2 placing token on slot 0
[19:19:07.371] [SEVERE ] removing player 2 token from slot 0
[19:19:07.371] [SEVERE ] player 2 placing token on slot 0
[19:19:07.372] [SEVERE ] removing player 2 token from slot 0
[19:19:07.372] [SEVERE ] player 2 placing token on slot 0
[19:19:07.372] [SEVERE ] removing player 2 token from slot 0
[19:19:07.373] [SEVERE ] player 2 placing token on slot 0
[19:19:07.373] [SEVERE ] removing player 2 token from slot 0
[19:19:07.373] [SEVERE ] player 2 placing token on slot 0
[19:19:07.373] [SEVERE ] removing player 2 token from slot 0
[19:19:07.373] [SEVERE ] player 2 placing token on slot 0
[19:19:07.373] [SEVERE ] removing player 2 token from slot 0
[19:19:07.374] [SEVERE ] player 2 placing token on slot 0
[19:19:07.374] [SEVERE ] removing player 2 token from slot 0
[19:19:07.374] [SEVERE ] player 2 placing token on slot 0
[19:19:07.376] [SEVERE ] removing player 2 token from slot 0
[19:19:07.376] [SEVERE ] player 2 placing token on slot 0
[19:19:07.376] [SEVERE ] removing player 2 token from slot 0
[19:19:07.377] [SEVERE ] player 2 placing token on slot 0
[19:19:07.377] [SEVERE ] removing player 2 token from slot 0
[19:19:07.377] [SEVERE ] player 2 placing token on slot 0
[19:19:07.377] [SEVERE ] removing player 2 token from slot 0
[19:19:07.377] [SEVERE ] player 2 placing token on slot 0
[19:19:07.377] [SEVERE ] removing player 2 token from slot 0
[19:19:07.377] [SEVERE ] player 2 placing token on slot 0
[19:19:07.378] [SEVERE ] removing player 2 token from slot 0
[19:19:07.378] [SEVERE ] player 2 placing token on slot 0
[19:19:07.378] [SEVERE ] removing player 2 token from slot 0
[19:19:07.379] [SEVERE ] player 2 placing token on slot 0
[19:19:07.379] [SEVERE ] removing player 2 token from slot 0
[19:19:07.379] [SEVERE ] player 2 placing token on slot 0
[19:19:07.379] [SEVERE ] removing player 2 token from slot 0
[19:19:07.380] [SEVERE ] player 2 placing token on slot 0
[19:19:07.380] [SEVERE ] removing player 2 token from slot 0
[19:19:07.380] [SEVERE ] player 2 placing token on slot 0
[19:19:07.380] [SEVERE ] removing player 2 token from slot 0
[19:19:07.380] [SEVERE ] player 2 placing token on slot 0
[19:19:07.381] [SEVERE ] removing player 2 token from slot 0
[19:19:07.381] [SEVERE ] player 2 placing token on slot 0
[19:19:07.382] [SEVERE ] removing player 2 token from slot 0
[19:19:07.382] [SEVERE ] player 2 placing token on slot 0
[19:19:07.382] [SEVERE ] removing player 2 token from slot 0
[19:19:07.383] [SEVERE ] player 2 placing token on slot 0
[19:19:07.383] [SEVERE ] removing player 2 token from slot 0
[19:19:07.384] [SEVERE ] player 2 placing token on slot 0
[19:19:07.384] [SEVERE ] removing player 2 token from slot 0
[19:19:07.385] [SEVERE ] player 2 placing token on slot 0
[19:19:07.385] [SEVERE ] removing player 2 token from slot 0
[19:19:07.385] [SEVERE ] player 2 placing token on slot 0
[19:19:07.385] [SEVERE ] removing player 2 token from slot 0
[19:19:07.385] [SEVERE ] player 2 placing token on slot 0
[19:19:07.385] [SEVERE ] removing player 2 token from slot 0
[19:19:07.386] [SEVERE ] player 2 placing token on slot 0
[19:19:07.386] [SEVERE ] removing player 2 token from slot 0
[19:19:07.386] [SEVERE ] player 2 placing token on slot 0
[19:19:07.386] [SEVERE ] removing player 2 token from slot 0
[19:19:07.386] [SEVERE ] player 2 placing token on slot 0
[19:19:07.386] [SEVERE ] removing player 2 token from slot 0
[19:19:07.386] [SEVERE ] player 2 placing token on slot 0
[19:19:07.387] [SEVERE ] removing player 2 token from slot 0
[19:19:07.387] [SEVERE ] player 2 placing token on slot 0
[19:19:07.387] [SEVERE ] removing player 2 token from slot 0
[19:19:07.387] [SEVERE ] player 2 placing token on slot 0
[19:19:07.387] [SEVERE ] removing player 2 token from slot 0
[19:19:07.388] [SEVERE ] player 2 placing token on slot 0
[19:19:07.388] [SEVERE ] removing player 2 token from slot 0
