[10:59:21.077] [INFO   ] thread bguspl.set.Main.main() starting.
[10:59:21.085] [SEVERE ] cannot read configuration file config.properties trying from resources.
[10:59:21.089] [SEVERE ] configuration file was loaded from resources directory.
[10:59:22.109] [INFO   ] thread dealer starting.
[10:59:22.111] [INFO   ] thread dealer starting.
[10:59:22.114] [INFO   ] thread Thread-1 starting.
[10:59:22.115] [INFO   ] thread Thread-3 starting.
[10:59:22.114] [INFO   ] thread Thread-2 starting.
[10:59:22.116] [INFO   ] thread Thread-5 starting.
[10:59:22.116] [INFO   ] thread Thread-4 starting.
[10:59:22.121] [INFO   ] thread computer-4 starting.
[10:59:22.120] [INFO   ] thread computer-1 starting.
[10:59:22.120] [INFO   ] thread computer-2 starting.
[10:59:22.117] [INFO   ] thread computer-0 starting.
[10:59:22.126] [INFO   ] thread computer-3 starting.
[10:59:22.231] [SEVERE ] placing card 75 in slot 1
[10:59:22.231] [SEVERE ] player 4 placing token on slot 1
[10:59:22.231] [SEVERE ] player 3 placing token on slot 1
[10:59:22.231] [SEVERE ] player 5 placing token on slot 1
[10:59:22.231] [SEVERE ] player 1 placing token on slot 1
[10:59:22.231] [SEVERE ] player 2 placing token on slot 1
[10:59:22.235] [SEVERE ] removing player 4 token from slot 1
[10:59:22.235] [SEVERE ] removing player 5 token from slot 1
[10:59:22.234] [SEVERE ] removing player 3 token from slot 1
[10:59:22.238] [SEVERE ] player 5 placing token on slot 1
[10:59:22.237] [SEVERE ] player 4 placing token on slot 1
[10:59:22.236] [SEVERE ] removing player 1 token from slot 1
[10:59:22.236] [SEVERE ] removing player 2 token from slot 1
[10:59:22.240] [SEVERE ] player 1 placing token on slot 1
[10:59:22.240] [SEVERE ] removing player 4 token from slot 1
[10:59:22.239] [SEVERE ] removing player 5 token from slot 1
[10:59:22.239] [SEVERE ] player 3 placing token on slot 1
[10:59:22.242] [SEVERE ] player 5 placing token on slot 1
[10:59:22.241] [SEVERE ] player 4 placing token on slot 1
[10:59:22.241] [SEVERE ] removing player 1 token from slot 1
[10:59:22.241] [SEVERE ] player 2 placing token on slot 1
[10:59:22.245] [SEVERE ] player 1 placing token on slot 1
[10:59:22.244] [SEVERE ] removing player 4 token from slot 1
[10:59:22.243] [SEVERE ] removing player 5 token from slot 1
[10:59:22.242] [SEVERE ] removing player 3 token from slot 1
[10:59:22.246] [SEVERE ] player 5 placing token on slot 1
[10:59:22.246] [SEVERE ] player 4 placing token on slot 1
[10:59:22.245] [SEVERE ] removing player 1 token from slot 1
[10:59:22.245] [SEVERE ] removing player 2 token from slot 1
[10:59:22.249] [SEVERE ] player 1 placing token on slot 1
[10:59:22.248] [SEVERE ] removing player 4 token from slot 1
[10:59:22.248] [SEVERE ] removing player 5 token from slot 1
[10:59:22.247] [SEVERE ] player 3 placing token on slot 1
[10:59:22.252] [SEVERE ] player 5 placing token on slot 1
[10:59:22.252] [SEVERE ] player 4 placing token on slot 1
[10:59:22.252] [SEVERE ] removing player 1 token from slot 1
[10:59:22.251] [SEVERE ] player 2 placing token on slot 1
[10:59:22.254] [SEVERE ] player 1 placing token on slot 1
[10:59:22.253] [SEVERE ] removing player 4 token from slot 1
[10:59:22.253] [SEVERE ] removing player 5 token from slot 1
[10:59:22.253] [SEVERE ] removing player 3 token from slot 1
[10:59:22.255] [SEVERE ] player 4 placing token on slot 1
[10:59:22.254] [SEVERE ] removing player 1 token from slot 1
[10:59:22.254] [SEVERE ] removing player 2 token from slot 1
[10:59:22.256] [SEVERE ] player 1 placing token on slot 1
[10:59:22.256] [SEVERE ] removing player 4 token from slot 1
[10:59:22.255] [SEVERE ] player 3 placing token on slot 1
[10:59:22.255] [SEVERE ] player 5 placing token on slot 1
[10:59:22.258] [SEVERE ] removing player 3 token from slot 1
[10:59:22.256] [SEVERE ] player 4 placing token on slot 1
[10:59:22.256] [SEVERE ] removing player 1 token from slot 1
[10:59:22.256] [SEVERE ] player 2 placing token on slot 1
[10:59:22.259] [SEVERE ] removing player 4 token from slot 1
[10:59:22.258] [SEVERE ] player 3 placing token on slot 1
[10:59:22.258] [SEVERE ] removing player 5 token from slot 1
[10:59:22.262] [SEVERE ] removing player 3 token from slot 1
[10:59:22.261] [SEVERE ] player 4 placing token on slot 1
[10:59:22.260] [SEVERE ] player 1 placing token on slot 1
[10:59:22.260] [SEVERE ] removing player 2 token from slot 1
[10:59:22.264] [SEVERE ] removing player 4 token from slot 1
[10:59:22.263] [SEVERE ] player 3 placing token on slot 1
[10:59:22.262] [SEVERE ] player 5 placing token on slot 1
[10:59:22.265] [SEVERE ] removing player 3 token from slot 1
[10:59:22.266] [SEVERE ] removing player 5 token from slot 1
[10:59:22.265] [SEVERE ] player 4 placing token on slot 1
[10:59:22.265] [SEVERE ] removing player 1 token from slot 1
[10:59:22.264] [SEVERE ] player 2 placing token on slot 1
[10:59:22.267] [SEVERE ] player 1 placing token on slot 1
[10:59:22.266] [SEVERE ] removing player 4 token from slot 1
[10:59:22.268] [SEVERE ] removing player 1 token from slot 1
[10:59:22.266] [SEVERE ] player 5 placing token on slot 1
[10:59:22.266] [SEVERE ] player 3 placing token on slot 1
[10:59:22.269] [SEVERE ] removing player 5 token from slot 1
[10:59:22.268] [SEVERE ] player 1 placing token on slot 1
[10:59:22.268] [SEVERE ] player 4 placing token on slot 1
[10:59:22.267] [SEVERE ] removing player 2 token from slot 1
[10:59:22.270] [SEVERE ] removing player 4 token from slot 1
[10:59:22.270] [SEVERE ] removing player 1 token from slot 1
[10:59:22.269] [SEVERE ] player 5 placing token on slot 1
[10:59:22.269] [SEVERE ] removing player 3 token from slot 1
[10:59:22.272] [SEVERE ] removing player 5 token from slot 1
[10:59:22.272] [SEVERE ] player 1 placing token on slot 1
[10:59:22.271] [SEVERE ] player 4 placing token on slot 1
[10:59:22.271] [SEVERE ] player 2 placing token on slot 1
[10:59:22.274] [SEVERE ] removing player 4 token from slot 1
[10:59:22.273] [SEVERE ] player 5 placing token on slot 1
[10:59:22.272] [SEVERE ] player 3 placing token on slot 1
[10:59:22.274] [SEVERE ] removing player 5 token from slot 1
[10:59:22.274] [SEVERE ] player 4 placing token on slot 1
[10:59:22.274] [SEVERE ] removing player 2 token from slot 1
[10:59:22.274] [SEVERE ] removing player 1 token from slot 1
[10:59:22.275] [SEVERE ] player 2 placing token on slot 1
[10:59:22.275] [SEVERE ] removing player 4 token from slot 1
[10:59:22.275] [SEVERE ] player 5 placing token on slot 1
[10:59:22.275] [SEVERE ] removing player 3 token from slot 1
[10:59:22.276] [SEVERE ] player 4 placing token on slot 1
[10:59:22.276] [SEVERE ] removing player 2 token from slot 1
[10:59:22.276] [SEVERE ] player 1 placing token on slot 1
[10:59:22.277] [SEVERE ] player 2 placing token on slot 1
[10:59:22.277] [SEVERE ] removing player 4 token from slot 1
[10:59:22.277] [SEVERE ] removing player 5 token from slot 1
[10:59:22.277] [SEVERE ] player 3 placing token on slot 1
[10:59:22.278] [SEVERE ] player 5 placing token on slot 1
[10:59:22.278] [SEVERE ] player 4 placing token on slot 1
[10:59:22.277] [SEVERE ] removing player 2 token from slot 1
[10:59:22.277] [SEVERE ] removing player 1 token from slot 1
[10:59:22.278] [SEVERE ] removing player 4 token from slot 1
[10:59:22.278] [SEVERE ] removing player 5 token from slot 1
[10:59:22.278] [SEVERE ] removing player 3 token from slot 1
[10:59:22.279] [SEVERE ] player 4 placing token on slot 1
[10:59:22.279] [SEVERE ] player 1 placing token on slot 1
[10:59:22.279] [SEVERE ] player 2 placing token on slot 1
[10:59:22.281] [SEVERE ] removing player 1 token from slot 1
[10:59:22.279] [SEVERE ] removing player 4 token from slot 1
[10:59:22.279] [SEVERE ] player 3 placing token on slot 1
[10:59:22.279] [SEVERE ] player 5 placing token on slot 1
[10:59:22.283] [SEVERE ] removing player 3 token from slot 1
[10:59:22.283] [SEVERE ] player 4 placing token on slot 1
[10:59:22.282] [SEVERE ] player 1 placing token on slot 1
[10:59:22.281] [SEVERE ] removing player 2 token from slot 1
[10:59:22.284] [SEVERE ] removing player 4 token from slot 1
[10:59:22.284] [SEVERE ] player 3 placing token on slot 1
[10:59:22.283] [SEVERE ] removing player 5 token from slot 1
[10:59:22.285] [SEVERE ] removing player 3 token from slot 1
[10:59:22.285] [SEVERE ] removing player 1 token from slot 1
[10:59:22.285] [SEVERE ] player 4 placing token on slot 1
[10:59:22.285] [SEVERE ] player 2 placing token on slot 1
[10:59:22.286] [SEVERE ] removing player 4 token from slot 1
[10:59:22.285] [SEVERE ] player 1 placing token on slot 1
[10:59:22.285] [SEVERE ] player 3 placing token on slot 1
[10:59:22.285] [SEVERE ] player 5 placing token on slot 1
[10:59:22.287] [SEVERE ] removing player 3 token from slot 1
[10:59:22.287] [SEVERE ] player 4 placing token on slot 1
[10:59:22.287] [SEVERE ] removing player 1 token from slot 1
[10:59:22.286] [SEVERE ] removing player 2 token from slot 1
[10:59:22.288] [SEVERE ] player 1 placing token on slot 1
[10:59:22.288] [SEVERE ] removing player 4 token from slot 1
[10:59:22.287] [SEVERE ] player 3 placing token on slot 1
[10:59:22.287] [SEVERE ] removing player 5 token from slot 1
[10:59:22.289] [SEVERE ] removing player 3 token from slot 1
[10:59:22.289] [SEVERE ] player 4 placing token on slot 1
[10:59:22.288] [SEVERE ] removing player 1 token from slot 1
[10:59:22.288] [SEVERE ] player 2 placing token on slot 1
[10:59:22.289] [SEVERE ] player 1 placing token on slot 1
[10:59:22.289] [SEVERE ] removing player 4 token from slot 1
[10:59:22.289] [SEVERE ] player 3 placing token on slot 1
[10:59:22.289] [SEVERE ] player 5 placing token on slot 1
[10:59:22.290] [SEVERE ] removing player 3 token from slot 1
[10:59:22.290] [SEVERE ] player 4 placing token on slot 1
[10:59:22.290] [SEVERE ] removing player 1 token from slot 1
