[19:43:30.246] [INFO   ] thread bguspl.set.Main.main() starting.
[19:43:30.249] [SEVERE ] cannot read configuration file config.properties trying from resources.
[19:43:30.250] [SEVERE ] configuration file was loaded from resources directory.
[19:43:30.946] [INFO   ] thread dealer starting.
[19:43:30.947] [INFO   ] thread dealer starting.
[19:43:30.949] [INFO   ] thread Thread-1 starting.
[19:43:30.949] [INFO   ] thread Thread-3 starting.
[19:43:30.949] [INFO   ] thread Thread-2 starting.
[19:43:30.950] [INFO   ] thread computer-2 starting.
[19:43:31.066] [SEVERE ] player 3 placing token on slot 0
[19:43:31.066] [SEVERE ] placing card 79 in slot 0
[19:43:31.074] [SEVERE ] removing player 3 token from slot 0
[19:43:31.075] [SEVERE ] player 3 placing token on slot 0
[19:43:31.075] [SEVERE ] removing player 3 token from slot 0
[19:43:31.075] [SEVERE ] player 3 placing token on slot 0
[19:43:31.076] [SEVERE ] removing player 3 token from slot 0
[19:43:31.076] [SEVERE ] player 3 placing token on slot 0
[19:43:31.076] [SEVERE ] removing player 3 token from slot 0
[19:43:31.076] [SEVERE ] player 3 placing token on slot 0
[19:43:31.078] [SEVERE ] removing player 3 token from slot 0
[19:43:31.078] [SEVERE ] player 3 placing token on slot 0
[19:43:31.079] [SEVERE ] removing player 3 token from slot 0
[19:43:31.079] [SEVERE ] player 3 placing token on slot 0
[19:43:31.079] [SEVERE ] removing player 3 token from slot 0
[19:43:31.079] [SEVERE ] player 3 placing token on slot 0
[19:43:31.079] [SEVERE ] removing player 3 token from slot 0
[19:43:31.079] [SEVERE ] player 3 placing token on slot 0
[19:43:31.079] [SEVERE ] removing player 3 token from slot 0
[19:43:31.079] [SEVERE ] player 3 placing token on slot 0
[19:43:31.081] [SEVERE ] removing player 3 token from slot 0
[19:43:31.081] [SEVERE ] player 3 placing token on slot 0
[19:43:31.081] [SEVERE ] removing player 3 token from slot 0
[19:43:31.081] [SEVERE ] player 3 placing token on slot 0
[19:43:31.081] [SEVERE ] removing player 3 token from slot 0
[19:43:31.081] [SEVERE ] player 3 placing token on slot 0
[19:43:31.081] [SEVERE ] removing player 3 token from slot 0
[19:43:31.081] [SEVERE ] player 3 placing token on slot 0
[19:43:31.081] [SEVERE ] removing player 3 token from slot 0
[19:43:31.082] [SEVERE ] player 3 placing token on slot 0
[19:43:31.087] [SEVERE ] removing player 3 token from slot 0
[19:43:31.089] [SEVERE ] player 3 placing token on slot 0
[19:43:31.089] [SEVERE ] removing player 3 token from slot 0
[19:43:31.090] [SEVERE ] player 3 placing token on slot 0
[19:43:31.090] [SEVERE ] removing player 3 token from slot 0
[19:43:31.090] [SEVERE ] player 3 placing token on slot 0
[19:43:31.092] [SEVERE ] removing player 3 token from slot 0
[19:43:31.092] [SEVERE ] player 3 placing token on slot 0
[19:43:31.092] [SEVERE ] removing player 3 token from slot 0
[19:43:31.093] [SEVERE ] player 3 placing token on slot 0
[19:43:31.093] [SEVERE ] removing player 3 token from slot 0
[19:43:31.093] [SEVERE ] player 3 placing token on slot 0
[19:43:31.093] [SEVERE ] removing player 3 token from slot 0
[19:43:31.093] [SEVERE ] player 3 placing token on slot 0
[19:43:31.095] [SEVERE ] removing player 3 token from slot 0
[19:43:31.095] [SEVERE ] player 3 placing token on slot 0
[19:43:31.095] [SEVERE ] removing player 3 token from slot 0
[19:43:31.095] [SEVERE ] player 3 placing token on slot 0
[19:43:31.095] [SEVERE ] removing player 3 token from slot 0
[19:43:31.097] [SEVERE ] player 3 placing token on slot 0
[19:43:31.097] [SEVERE ] removing player 3 token from slot 0
[19:43:31.097] [SEVERE ] player 3 placing token on slot 0
[19:43:31.097] [SEVERE ] removing player 3 token from slot 0
[19:43:31.098] [SEVERE ] player 3 placing token on slot 0
[19:43:31.098] [SEVERE ] removing player 3 token from slot 0
[19:43:31.099] [SEVERE ] player 3 placing token on slot 0
[19:43:31.099] [SEVERE ] removing player 3 token from slot 0
[19:43:31.100] [SEVERE ] player 3 placing token on slot 0
[19:43:31.100] [SEVERE ] removing player 3 token from slot 0
