[11:41:10.485] [INFO   ] thread bguspl.set.Main.main() starting.
[11:41:10.488] [SEVERE ] cannot read configuration file config.properties trying from resources.
[11:41:10.490] [SEVERE ] configuration file was loaded from resources directory.
[11:41:11.295] [INFO   ] thread dealer starting.
[11:41:11.296] [INFO   ] thread dealer starting.
[11:41:11.297] [INFO   ] thread Thread-1 starting.
[11:41:11.299] [INFO   ] thread Thread-2 starting.
[11:41:11.305] [INFO   ] thread Thread-3 starting.
[11:41:11.305] [INFO   ] thread Thread-4 starting.
[11:41:11.306] [INFO   ] thread Thread-5 starting.
[11:41:11.310] [INFO   ] thread computer-1 starting.
[11:41:11.332] [INFO   ] thread computer-0 starting.
[11:41:11.333] [INFO   ] thread computer-2 starting.
[11:41:11.334] [INFO   ] thread computer-3 starting.
[11:41:11.334] [INFO   ] thread computer-4 starting.
[11:41:11.418] [SEVERE ] player 3 placing token on slot 8
[11:41:11.418] [SEVERE ] player 1 placing token on slot 8
[11:41:11.418] [SEVERE ] player 2 placing token on slot 8
[11:41:11.418] [SEVERE ] player 4 placing token on slot 8
[11:41:11.418] [SEVERE ] player 5 placing token on slot 8
[11:41:11.418] [SEVERE ] placing card 16 in slot 8
[11:41:11.423] [SEVERE ] removing player 1 token from slot 8
[11:41:11.423] [SEVERE ] removing player 5 token from slot 8
[11:41:11.423] [SEVERE ] removing player 2 token from slot 8
[11:41:11.424] [SEVERE ] player 5 placing token on slot 8
[11:41:11.423] [SEVERE ] player 1 placing token on slot 8
[11:41:11.423] [SEVERE ] removing player 4 token from slot 8
[11:41:11.423] [SEVERE ] removing player 3 token from slot 8
[11:41:11.425] [SEVERE ] player 4 placing token on slot 8
[11:41:11.425] [SEVERE ] removing player 1 token from slot 8
[11:41:11.424] [SEVERE ] removing player 5 token from slot 8
[11:41:11.424] [SEVERE ] player 2 placing token on slot 8
[11:41:11.428] [SEVERE ] player 5 placing token on slot 8
[11:41:11.428] [SEVERE ] player 1 placing token on slot 8
[11:41:11.427] [SEVERE ] removing player 4 token from slot 8
[11:41:11.425] [SEVERE ] player 3 placing token on slot 8
[11:41:11.429] [SEVERE ] player 4 placing token on slot 8
[11:41:11.429] [SEVERE ] removing player 1 token from slot 8
[11:41:11.428] [SEVERE ] removing player 5 token from slot 8
[11:41:11.428] [SEVERE ] removing player 2 token from slot 8
[11:41:11.431] [SEVERE ] player 5 placing token on slot 8
[11:41:11.430] [SEVERE ] player 1 placing token on slot 8
[11:41:11.432] [SEVERE ] removing player 5 token from slot 8
[11:41:11.430] [SEVERE ] removing player 4 token from slot 8
[11:41:11.430] [SEVERE ] removing player 3 token from slot 8
[11:41:11.433] [SEVERE ] player 4 placing token on slot 8
[11:41:11.433] [SEVERE ] player 5 placing token on slot 8
[11:41:11.432] [SEVERE ] removing player 1 token from slot 8
[11:41:11.432] [SEVERE ] player 2 placing token on slot 8
[11:41:11.436] [SEVERE ] player 1 placing token on slot 8
[11:41:11.434] [SEVERE ] removing player 5 token from slot 8
[11:41:11.434] [SEVERE ] player 3 placing token on slot 8
[11:41:11.434] [SEVERE ] removing player 4 token from slot 8
[11:41:11.438] [SEVERE ] removing player 3 token from slot 8
[11:41:11.438] [SEVERE ] player 5 placing token on slot 8
[11:41:11.438] [SEVERE ] removing player 1 token from slot 8
[11:41:11.437] [SEVERE ] removing player 2 token from slot 8
[11:41:11.439] [SEVERE ] player 1 placing token on slot 8
[11:41:11.439] [SEVERE ] player 4 placing token on slot 8
[11:41:11.439] [SEVERE ] removing player 5 token from slot 8
[11:41:11.439] [SEVERE ] player 3 placing token on slot 8
[11:41:11.440] [SEVERE ] player 5 placing token on slot 8
[11:41:11.440] [SEVERE ] removing player 4 token from slot 8
[11:41:11.439] [SEVERE ] removing player 1 token from slot 8
[11:41:11.439] [SEVERE ] player 2 placing token on slot 8
[11:41:11.441] [SEVERE ] player 4 placing token on slot 8
[11:41:11.441] [SEVERE ] removing player 5 token from slot 8
[11:41:11.440] [SEVERE ] removing player 3 token from slot 8
[11:41:11.444] [SEVERE ] player 5 placing token on slot 8
[11:41:11.442] [SEVERE ] player 1 placing token on slot 8
[11:41:11.442] [SEVERE ] removing player 4 token from slot 8
[11:41:11.442] [SEVERE ] removing player 2 token from slot 8
[11:41:11.445] [SEVERE ] removing player 5 token from slot 8
[11:41:11.445] [SEVERE ] removing player 1 token from slot 8
[11:41:11.444] [SEVERE ] player 3 placing token on slot 8
[11:41:11.448] [SEVERE ] player 1 placing token on slot 8
[11:41:11.448] [SEVERE ] player 5 placing token on slot 8
[11:41:11.447] [SEVERE ] player 2 placing token on slot 8
[11:41:11.446] [SEVERE ] player 4 placing token on slot 8
[11:41:11.449] [SEVERE ] removing player 2 token from slot 8
[11:41:11.449] [SEVERE ] removing player 5 token from slot 8
[11:41:11.448] [SEVERE ] removing player 1 token from slot 8
[11:41:11.448] [SEVERE ] removing player 3 token from slot 8
[11:41:11.451] [SEVERE ] player 1 placing token on slot 8
[11:41:11.450] [SEVERE ] player 5 placing token on slot 8
[11:41:11.450] [SEVERE ] player 2 placing token on slot 8
[11:41:11.450] [SEVERE ] removing player 4 token from slot 8
[11:41:11.453] [SEVERE ] removing player 2 token from slot 8
[11:41:11.452] [SEVERE ] removing player 5 token from slot 8
[11:41:11.452] [SEVERE ] removing player 1 token from slot 8
[11:41:11.451] [SEVERE ] player 3 placing token on slot 8
[11:41:11.453] [SEVERE ] player 1 placing token on slot 8
[11:41:11.453] [SEVERE ] removing player 3 token from slot 8
[11:41:11.454] [SEVERE ] player 3 placing token on slot 8
[11:41:11.453] [SEVERE ] player 5 placing token on slot 8
[11:41:11.453] [SEVERE ] player 2 placing token on slot 8
[11:41:11.453] [SEVERE ] player 4 placing token on slot 8
[11:41:11.454] [SEVERE ] removing player 2 token from slot 8
[11:41:11.454] [SEVERE ] removing player 5 token from slot 8
[11:41:11.454] [SEVERE ] removing player 3 token from slot 8
[11:41:11.454] [SEVERE ] removing player 1 token from slot 8
[11:41:11.455] [SEVERE ] player 3 placing token on slot 8
[11:41:11.455] [SEVERE ] player 5 placing token on slot 8
[11:41:11.455] [SEVERE ] player 2 placing token on slot 8
[11:41:11.455] [SEVERE ] removing player 4 token from slot 8
[11:41:11.456] [SEVERE ] removing player 5 token from slot 8
[11:41:11.456] [SEVERE ] removing player 3 token from slot 8
[11:41:11.456] [SEVERE ] player 1 placing token on slot 8
[11:41:11.458] [SEVERE ] player 3 placing token on slot 8
[11:41:11.457] [SEVERE ] player 5 placing token on slot 8
[11:41:11.456] [SEVERE ] player 4 placing token on slot 8
[11:41:11.456] [SEVERE ] removing player 2 token from slot 8
[11:41:11.460] [SEVERE ] removing player 4 token from slot 8
[11:41:11.460] [SEVERE ] removing player 5 token from slot 8
[11:41:11.459] [SEVERE ] removing player 3 token from slot 8
[11:41:11.458] [SEVERE ] removing player 1 token from slot 8
[11:41:11.461] [SEVERE ] player 3 placing token on slot 8
[11:41:11.461] [SEVERE ] player 5 placing token on slot 8
[11:41:11.461] [SEVERE ] player 4 placing token on slot 8
[11:41:11.461] [SEVERE ] player 2 placing token on slot 8
[11:41:11.462] [SEVERE ] removing player 2 token from slot 8
[11:41:11.461] [SEVERE ] removing player 5 token from slot 8
[11:41:11.461] [SEVERE ] removing player 3 token from slot 8
[11:41:11.461] [SEVERE ] player 1 placing token on slot 8
[11:41:11.463] [SEVERE ] player 3 placing token on slot 8
[11:41:11.463] [SEVERE ] player 5 placing token on slot 8
[11:41:11.463] [SEVERE ] player 2 placing token on slot 8
[11:41:11.462] [SEVERE ] removing player 4 token from slot 8
[11:41:11.466] [SEVERE ] removing player 5 token from slot 8
[11:41:11.464] [SEVERE ] removing player 1 token from slot 8
[11:41:11.464] [SEVERE ] removing player 3 token from slot 8
[11:41:11.467] [SEVERE ] player 1 placing token on slot 8
[11:41:11.467] [SEVERE ] player 5 placing token on slot 8
[11:41:11.467] [SEVERE ] player 4 placing token on slot 8
[11:41:11.467] [SEVERE ] removing player 2 token from slot 8
[11:41:11.468] [SEVERE ] removing player 5 token from slot 8
[11:41:11.468] [SEVERE ] removing player 1 token from slot 8
[11:41:11.468] [SEVERE ] player 3 placing token on slot 8
[11:41:11.470] [SEVERE ] player 1 placing token on slot 8
[11:41:11.469] [SEVERE ] player 5 placing token on slot 8
[11:41:11.469] [SEVERE ] player 2 placing token on slot 8
[11:41:11.468] [SEVERE ] removing player 4 token from slot 8
[11:41:11.470] [SEVERE ] removing player 2 token from slot 8
[11:41:11.470] [SEVERE ] removing player 5 token from slot 8
[11:41:11.470] [SEVERE ] removing player 1 token from slot 8
[11:41:11.470] [SEVERE ] removing player 3 token from slot 8
[11:41:11.471] [SEVERE ] player 2 placing token on slot 8
[11:41:11.470] [SEVERE ] player 4 placing token on slot 8
[11:41:11.472] [SEVERE ] removing player 2 token from slot 8
[11:41:11.471] [SEVERE ] player 3 placing token on slot 8
[11:41:11.471] [SEVERE ] player 1 placing token on slot 8
[11:41:11.473] [SEVERE ] removing player 3 token from slot 8
[11:41:11.471] [SEVERE ] player 5 placing token on slot 8
[11:41:11.474] [SEVERE ] player 3 placing token on slot 8
[11:41:11.474] [SEVERE ] removing player 1 token from slot 8
[11:41:11.473] [SEVERE ] player 2 placing token on slot 8
[11:41:11.472] [SEVERE ] removing player 4 token from slot 8
[11:41:11.475] [SEVERE ] player 1 placing token on slot 8
[11:41:11.475] [SEVERE ] removing player 3 token from slot 8
[11:41:11.474] [SEVERE ] removing player 5 token from slot 8
[11:41:11.476] [SEVERE ] player 3 placing token on slot 8
[11:41:11.476] [SEVERE ] removing player 1 token from slot 8
