[19:55:54.039] [INFO   ] thread bguspl.set.Main.main() starting.
[19:55:54.040] [SEVERE ] cannot read configuration file config.properties trying from resources.
[19:55:54.041] [SEVERE ] configuration file was loaded from resources directory.
[19:55:54.759] [INFO   ] thread dealer starting.
[19:55:54.760] [INFO   ] thread dealer starting.
[19:55:54.761] [INFO   ] thread Thread-1 starting.
[19:55:54.762] [INFO   ] thread Thread-3 starting.
[19:55:54.761] [INFO   ] thread Thread-2 starting.
[19:55:54.763] [INFO   ] thread computer-2 starting.
[19:55:54.876] [SEVERE ] placing card 66 in slot 0
[19:55:54.876] [SEVERE ] player 3 placing token on slot 0
[19:55:54.881] [SEVERE ] removing player 3 token from slot 0
[19:55:54.881] [SEVERE ] player 3 placing token on slot 0
[19:55:54.882] [SEVERE ] removing player 3 token from slot 0
[19:55:54.882] [SEVERE ] player 3 placing token on slot 0
[19:55:54.882] [SEVERE ] removing player 3 token from slot 0
[19:55:54.884] [SEVERE ] player 3 placing token on slot 0
[19:55:54.884] [SEVERE ] removing player 3 token from slot 0
[19:55:54.884] [SEVERE ] player 3 placing token on slot 0
[19:55:54.884] [SEVERE ] removing player 3 token from slot 0
[19:55:54.885] [SEVERE ] player 3 placing token on slot 0
[19:55:54.886] [SEVERE ] removing player 3 token from slot 0
[19:55:54.887] [SEVERE ] player 3 placing token on slot 0
[19:55:54.887] [SEVERE ] removing player 3 token from slot 0
[19:55:54.887] [SEVERE ] player 3 placing token on slot 0
[19:55:54.887] [SEVERE ] removing player 3 token from slot 0
[19:55:54.888] [SEVERE ] player 3 placing token on slot 0
[19:55:54.888] [SEVERE ] removing player 3 token from slot 0
[19:55:54.888] [SEVERE ] player 3 placing token on slot 0
[19:55:54.888] [SEVERE ] removing player 3 token from slot 0
[19:55:54.888] [SEVERE ] player 3 placing token on slot 0
[19:55:54.888] [SEVERE ] removing player 3 token from slot 0
[19:55:54.890] [SEVERE ] player 3 placing token on slot 0
[19:55:54.890] [SEVERE ] removing player 3 token from slot 0
[19:55:54.890] [SEVERE ] player 3 placing token on slot 0
[19:55:54.891] [SEVERE ] removing player 3 token from slot 0
[19:55:54.891] [SEVERE ] player 3 placing token on slot 0
[19:55:54.893] [SEVERE ] removing player 3 token from slot 0
[19:55:54.893] [SEVERE ] player 3 placing token on slot 0
[19:55:54.893] [SEVERE ] removing player 3 token from slot 0
[19:55:54.893] [SEVERE ] player 3 placing token on slot 0
[19:55:54.893] [SEVERE ] removing player 3 token from slot 0
[19:55:54.894] [SEVERE ] player 3 placing token on slot 0
[19:55:54.894] [SEVERE ] removing player 3 token from slot 0
[19:55:54.895] [SEVERE ] player 3 placing token on slot 0
[19:55:54.895] [SEVERE ] removing player 3 token from slot 0
[19:55:54.895] [SEVERE ] player 3 placing token on slot 0
[19:55:54.896] [SEVERE ] removing player 3 token from slot 0
[19:55:54.896] [SEVERE ] player 3 placing token on slot 0
[19:55:54.896] [SEVERE ] removing player 3 token from slot 0
[19:55:54.896] [SEVERE ] player 3 placing token on slot 0
[19:55:54.896] [SEVERE ] removing player 3 token from slot 0
[19:55:54.896] [SEVERE ] player 3 placing token on slot 0
[19:55:54.898] [SEVERE ] removing player 3 token from slot 0
[19:55:54.898] [SEVERE ] player 3 placing token on slot 0
[19:55:54.898] [SEVERE ] removing player 3 token from slot 0
[19:55:54.898] [SEVERE ] player 3 placing token on slot 0
[19:55:54.899] [SEVERE ] removing player 3 token from slot 0
[19:55:54.899] [SEVERE ] player 3 placing token on slot 0
[19:55:54.899] [SEVERE ] removing player 3 token from slot 0
[19:55:54.899] [SEVERE ] player 3 placing token on slot 0
[19:55:54.899] [SEVERE ] removing player 3 token from slot 0
[19:55:54.899] [SEVERE ] player 3 placing token on slot 0
[19:55:54.901] [SEVERE ] removing player 3 token from slot 0
[19:55:54.901] [SEVERE ] player 3 placing token on slot 0
[19:55:54.901] [SEVERE ] removing player 3 token from slot 0
[19:55:54.901] [SEVERE ] player 3 placing token on slot 0
[19:55:54.901] [SEVERE ] removing player 3 token from slot 0
[19:55:54.902] [SEVERE ] player 3 placing token on slot 0
[19:55:54.902] [SEVERE ] removing player 3 token from slot 0
[19:55:54.902] [SEVERE ] player 3 placing token on slot 0
[19:55:54.902] [SEVERE ] removing player 3 token from slot 0
[19:55:54.902] [SEVERE ] player 3 placing token on slot 0
[19:55:54.902] [SEVERE ] removing player 3 token from slot 0
[19:55:54.902] [SEVERE ] player 3 placing token on slot 0
[19:55:54.904] [SEVERE ] removing player 3 token from slot 0
[19:55:54.904] [SEVERE ] player 3 placing token on slot 0
[19:55:54.904] [SEVERE ] removing player 3 token from slot 0
[19:55:54.904] [SEVERE ] player 3 placing token on slot 0
[19:55:54.904] [SEVERE ] removing player 3 token from slot 0
[19:55:54.904] [SEVERE ] player 3 placing token on slot 0
[19:55:54.904] [SEVERE ] removing player 3 token from slot 0
[19:55:54.904] [SEVERE ] player 3 placing token on slot 0
[19:55:54.905] [SEVERE ] removing player 3 token from slot 0
[19:55:54.906] [SEVERE ] player 3 placing token on slot 0
[19:55:54.906] [SEVERE ] removing player 3 token from slot 0
[19:55:54.906] [SEVERE ] player 3 placing token on slot 0
[19:55:54.906] [SEVERE ] removing player 3 token from slot 0
[19:55:54.906] [SEVERE ] player 3 placing token on slot 0
