[20:08:24.116] [INFO   ] thread bguspl.set.Main.main() starting.
[20:08:24.119] [SEVERE ] cannot read configuration file config.properties trying from resources.
[20:08:24.121] [SEVERE ] configuration file was loaded from resources directory.
[20:08:24.921] [INFO   ] thread dealer starting.
[20:08:24.922] [INFO   ] thread dealer starting.
[20:08:24.923] [INFO   ] thread Thread-1 starting.
[20:08:24.924] [INFO   ] thread Thread-3 starting.
[20:08:24.924] [INFO   ] thread Thread-2 starting.
[20:08:24.925] [INFO   ] thread computer-2 starting.
[20:08:25.040] [SEVERE ] placing card 32 in slot 0
[20:08:25.040] [SEVERE ] player 3 placing token on slot 0
[20:08:25.045] [SEVERE ] removing player 3 token from slot 0
[20:08:25.046] [SEVERE ] player 3 placing token on slot 0
[20:08:25.046] [SEVERE ] removing player 3 token from slot 0
[20:08:25.046] [SEVERE ] player 3 placing token on slot 0
[20:08:25.046] [SEVERE ] removing player 3 token from slot 0
[20:08:25.047] [SEVERE ] player 3 placing token on slot 0
[20:08:25.047] [SEVERE ] removing player 3 token from slot 0
[20:08:25.047] [SEVERE ] player 3 placing token on slot 0
[20:08:25.047] [SEVERE ] removing player 3 token from slot 0
[20:08:25.048] [SEVERE ] player 3 placing token on slot 0
[20:08:25.048] [SEVERE ] removing player 3 token from slot 0
[20:08:25.048] [SEVERE ] player 3 placing token on slot 0
[20:08:25.048] [SEVERE ] removing player 3 token from slot 0
[20:08:25.049] [SEVERE ] player 3 placing token on slot 0
[20:08:25.049] [SEVERE ] removing player 3 token from slot 0
[20:08:25.049] [SEVERE ] player 3 placing token on slot 0
[20:08:25.051] [SEVERE ] removing player 3 token from slot 0
[20:08:25.051] [SEVERE ] player 3 placing token on slot 0
[20:08:25.051] [SEVERE ] removing player 3 token from slot 0
[20:08:25.052] [SEVERE ] player 3 placing token on slot 0
[20:08:25.052] [SEVERE ] removing player 3 token from slot 0
[20:08:25.052] [SEVERE ] player 3 placing token on slot 0
[20:08:25.052] [SEVERE ] removing player 3 token from slot 0
[20:08:25.054] [SEVERE ] player 3 placing token on slot 0
[20:08:25.054] [SEVERE ] removing player 3 token from slot 0
[20:08:25.055] [SEVERE ] player 3 placing token on slot 0
[20:08:25.055] [SEVERE ] removing player 3 token from slot 0
[20:08:25.055] [SEVERE ] player 3 placing token on slot 0
[20:08:25.056] [SEVERE ] removing player 3 token from slot 0
[20:08:25.056] [SEVERE ] player 3 placing token on slot 0
[20:08:25.056] [SEVERE ] removing player 3 token from slot 0
[20:08:25.057] [SEVERE ] player 3 placing token on slot 0
[20:08:25.057] [SEVERE ] removing player 3 token from slot 0
[20:08:25.058] [SEVERE ] player 3 placing token on slot 0
[20:08:25.058] [SEVERE ] removing player 3 token from slot 0
[20:08:25.058] [SEVERE ] player 3 placing token on slot 0
[20:08:25.059] [SEVERE ] removing player 3 token from slot 0
[20:08:25.059] [SEVERE ] player 3 placing token on slot 0
[20:08:25.059] [SEVERE ] removing player 3 token from slot 0
[20:08:25.059] [SEVERE ] player 3 placing token on slot 0
[20:08:25.059] [SEVERE ] removing player 3 token from slot 0
[20:08:25.060] [SEVERE ] player 3 placing token on slot 0
[20:08:25.060] [SEVERE ] removing player 3 token from slot 0
[20:08:25.060] [SEVERE ] player 3 placing token on slot 0
[20:08:25.060] [SEVERE ] removing player 3 token from slot 0
[20:08:25.061] [SEVERE ] player 3 placing token on slot 0
[20:08:25.061] [SEVERE ] removing player 3 token from slot 0
[20:08:25.061] [SEVERE ] player 3 placing token on slot 0
[20:08:25.062] [SEVERE ] removing player 3 token from slot 0
[20:08:25.062] [SEVERE ] player 3 placing token on slot 0
[20:08:25.062] [SEVERE ] removing player 3 token from slot 0
[20:08:25.062] [SEVERE ] player 3 placing token on slot 0
[20:08:25.062] [SEVERE ] removing player 3 token from slot 0
[20:08:25.062] [SEVERE ] player 3 placing token on slot 0
[20:08:25.063] [SEVERE ] removing player 3 token from slot 0
[20:08:25.063] [SEVERE ] player 3 placing token on slot 0
[20:08:25.063] [SEVERE ] removing player 3 token from slot 0
[20:08:25.064] [SEVERE ] player 3 placing token on slot 0
[20:08:25.064] [SEVERE ] removing player 3 token from slot 0
[20:08:25.064] [SEVERE ] player 3 placing token on slot 0
[20:08:25.064] [SEVERE ] removing player 3 token from slot 0
[20:08:25.065] [SEVERE ] player 3 placing token on slot 0
[20:08:25.065] [SEVERE ] removing player 3 token from slot 0
[20:08:25.066] [SEVERE ] player 3 placing token on slot 0
[20:08:25.067] [SEVERE ] removing player 3 token from slot 0
[20:08:25.067] [SEVERE ] player 3 placing token on slot 0
[20:08:25.067] [SEVERE ] removing player 3 token from slot 0
[20:08:25.068] [SEVERE ] player 3 placing token on slot 0
[20:08:25.068] [SEVERE ] removing player 3 token from slot 0
[20:08:25.068] [SEVERE ] player 3 placing token on slot 0
[20:08:25.069] [SEVERE ] removing player 3 token from slot 0
[20:08:25.069] [SEVERE ] player 3 placing token on slot 0
[20:08:25.069] [SEVERE ] removing player 3 token from slot 0
[20:08:25.069] [SEVERE ] player 3 placing token on slot 0
[20:08:25.070] [SEVERE ] removing player 3 token from slot 0
[20:08:25.070] [SEVERE ] player 3 placing token on slot 0
[20:08:25.070] [SEVERE ] removing player 3 token from slot 0
[20:08:25.070] [SEVERE ] player 3 placing token on slot 0
[20:08:25.070] [SEVERE ] removing player 3 token from slot 0
[20:08:25.071] [SEVERE ] player 3 placing token on slot 0
[20:08:25.071] [SEVERE ] removing player 3 token from slot 0
[20:08:25.071] [SEVERE ] player 3 placing token on slot 0
[20:08:25.071] [SEVERE ] removing player 3 token from slot 0
[20:08:25.071] [SEVERE ] player 3 placing token on slot 0
[20:08:25.072] [SEVERE ] removing player 3 token from slot 0
[20:08:25.072] [SEVERE ] player 3 placing token on slot 0
[20:08:25.072] [SEVERE ] removing player 3 token from slot 0
[20:08:25.073] [SEVERE ] player 3 placing token on slot 0
[20:08:25.074] [SEVERE ] removing player 3 token from slot 0
[20:08:25.074] [SEVERE ] player 3 placing token on slot 0
[20:08:25.074] [SEVERE ] removing player 3 token from slot 0
[20:08:25.074] [SEVERE ] player 3 placing token on slot 0
[20:08:25.074] [SEVERE ] removing player 3 token from slot 0
[20:08:25.074] [SEVERE ] player 3 placing token on slot 0
[20:08:25.075] [SEVERE ] removing player 3 token from slot 0
[20:08:25.075] [SEVERE ] player 3 placing token on slot 0
[20:08:25.075] [SEVERE ] removing player 3 token from slot 0
[20:08:25.075] [SEVERE ] player 3 placing token on slot 0
[20:08:25.075] [SEVERE ] removing player 3 token from slot 0
[20:08:25.076] [SEVERE ] player 3 placing token on slot 0
[20:08:25.077] [SEVERE ] removing player 3 token from slot 0
[20:08:25.077] [SEVERE ] player 3 placing token on slot 0
[20:08:25.077] [SEVERE ] removing player 3 token from slot 0
[20:08:25.078] [SEVERE ] player 3 placing token on slot 0
[20:08:25.078] [SEVERE ] removing player 3 token from slot 0
[20:08:25.078] [SEVERE ] player 3 placing token on slot 0
[20:08:25.079] [SEVERE ] removing player 3 token from slot 0
[20:08:25.079] [SEVERE ] player 3 placing token on slot 0
[20:08:25.080] [SEVERE ] removing player 3 token from slot 0
[20:08:25.080] [SEVERE ] player 3 placing token on slot 0
[20:08:25.080] [SEVERE ] removing player 3 token from slot 0
[20:08:25.080] [SEVERE ] player 3 placing token on slot 0
[20:08:25.080] [SEVERE ] removing player 3 token from slot 0
[20:08:25.081] [SEVERE ] player 3 placing token on slot 0
[20:08:25.081] [SEVERE ] removing player 3 token from slot 0
[20:08:25.081] [SEVERE ] player 3 placing token on slot 0
[20:08:25.081] [SEVERE ] removing player 3 token from slot 0
[20:08:25.082] [SEVERE ] player 3 placing token on slot 0
[20:08:25.082] [SEVERE ] removing player 3 token from slot 0
[20:08:25.082] [SEVERE ] player 3 placing token on slot 0
[20:08:25.082] [SEVERE ] removing player 3 token from slot 0
[20:08:25.083] [SEVERE ] player 3 placing token on slot 0
