[12:57:29.554] [INFO   ] thread bguspl.set.Main.main() starting.
[12:57:29.557] [SEVERE ] cannot read configuration file config.properties trying from resources.
[12:57:29.560] [SEVERE ] configuration file was loaded from resources directory.
[12:57:30.305] [INFO   ] thread dealer starting.
[12:57:30.307] [INFO   ] thread dealer starting.
[12:57:30.309] [INFO   ] thread Thread-2 starting.
[12:57:30.310] [INFO   ] thread Thread-4 starting.
[12:57:30.309] [INFO   ] thread Thread-3 starting.
[12:57:30.309] [INFO   ] thread Thread-1 starting.
[12:57:30.310] [INFO   ] thread Thread-5 starting.
[12:57:30.315] [INFO   ] thread computer-0 starting.
[12:57:30.313] [INFO   ] thread computer-2 starting.
[12:57:30.312] [INFO   ] thread computer-3 starting.
[12:57:30.312] [INFO   ] thread computer-1 starting.
[12:57:30.330] [INFO   ] thread computer-4 starting.
[12:57:30.418] [SEVERE ] player 1 placing token on slot 8
[12:57:30.419] [SEVERE ] player 3 placing token on slot 8
[12:57:30.419] [SEVERE ] player 4 placing token on slot 8
[12:57:30.418] [SEVERE ] player 2 placing token on slot 8
[12:57:30.418] [SEVERE ] player 5 placing token on slot 8
[12:57:30.418] [SEVERE ] placing card 33 in slot 8
[12:57:30.423] [SEVERE ] removing player 5 token from slot 8
[12:57:30.423] [SEVERE ] removing player 2 token from slot 8
[12:57:30.422] [SEVERE ] removing player 4 token from slot 8
[12:57:30.421] [SEVERE ] removing player 3 token from slot 8
[12:57:30.421] [SEVERE ] removing player 1 token from slot 8
[12:57:30.426] [SEVERE ] player 3 placing token on slot 8
[12:57:30.426] [SEVERE ] player 4 placing token on slot 8
[12:57:30.425] [SEVERE ] player 5 placing token on slot 8
[12:57:30.425] [SEVERE ] player 2 placing token on slot 8
[12:57:30.429] [SEVERE ] removing player 5 token from slot 8
[12:57:30.428] [SEVERE ] removing player 4 token from slot 8
[12:57:30.429] [SEVERE ] player 5 placing token on slot 8
[12:57:30.427] [SEVERE ] removing player 3 token from slot 8
[12:57:30.427] [SEVERE ] player 1 placing token on slot 8
[12:57:30.431] [SEVERE ] player 3 placing token on slot 8
[12:57:30.431] [SEVERE ] removing player 5 token from slot 8
[12:57:30.429] [SEVERE ] player 4 placing token on slot 8
[12:57:30.429] [SEVERE ] removing player 2 token from slot 8
[12:57:30.434] [SEVERE ] removing player 4 token from slot 8
[12:57:30.434] [SEVERE ] player 5 placing token on slot 8
[12:57:30.434] [SEVERE ] removing player 1 token from slot 8
[12:57:30.438] [SEVERE ] removing player 5 token from slot 8
[12:57:30.434] [SEVERE ] removing player 3 token from slot 8
[12:57:30.439] [SEVERE ] player 5 placing token on slot 8
[12:57:30.438] [SEVERE ] player 1 placing token on slot 8
[12:57:30.436] [SEVERE ] player 4 placing token on slot 8
[12:57:30.435] [SEVERE ] player 2 placing token on slot 8
[12:57:30.441] [SEVERE ] removing player 4 token from slot 8
[12:57:30.439] [SEVERE ] removing player 1 token from slot 8
[12:57:30.439] [SEVERE ] removing player 5 token from slot 8
[12:57:30.439] [SEVERE ] player 3 placing token on slot 8
[12:57:30.443] [SEVERE ] player 1 placing token on slot 8
[12:57:30.442] [SEVERE ] player 4 placing token on slot 8
[12:57:30.442] [SEVERE ] removing player 2 token from slot 8
[12:57:30.444] [SEVERE ] removing player 4 token from slot 8
[12:57:30.443] [SEVERE ] removing player 3 token from slot 8
[12:57:30.443] [SEVERE ] player 5 placing token on slot 8
[12:57:30.445] [SEVERE ] removing player 1 token from slot 8
[12:57:30.445] [SEVERE ] player 4 placing token on slot 8
[12:57:30.444] [SEVERE ] player 2 placing token on slot 8
[12:57:30.446] [SEVERE ] removing player 4 token from slot 8
[12:57:30.446] [SEVERE ] player 1 placing token on slot 8
[12:57:30.446] [SEVERE ] player 3 placing token on slot 8
[12:57:30.446] [SEVERE ] removing player 5 token from slot 8
[12:57:30.450] [SEVERE ] removing player 3 token from slot 8
[12:57:30.450] [SEVERE ] removing player 1 token from slot 8
[12:57:30.448] [SEVERE ] player 4 placing token on slot 8
[12:57:30.447] [SEVERE ] removing player 2 token from slot 8
[12:57:30.452] [SEVERE ] removing player 4 token from slot 8
[12:57:30.452] [SEVERE ] player 1 placing token on slot 8
[12:57:30.451] [SEVERE ] player 3 placing token on slot 8
[12:57:30.451] [SEVERE ] player 5 placing token on slot 8
[12:57:30.454] [SEVERE ] removing player 1 token from slot 8
[12:57:30.453] [SEVERE ] player 4 placing token on slot 8
[12:57:30.453] [SEVERE ] player 2 placing token on slot 8
[12:57:30.456] [SEVERE ] player 1 placing token on slot 8
[12:57:30.456] [SEVERE ] removing player 4 token from slot 8
[12:57:30.455] [SEVERE ] removing player 5 token from slot 8
[12:57:30.455] [SEVERE ] removing player 3 token from slot 8
[12:57:30.460] [SEVERE ] player 5 placing token on slot 8
[12:57:30.457] [SEVERE ] removing player 1 token from slot 8
[12:57:30.457] [SEVERE ] player 4 placing token on slot 8
[12:57:30.456] [SEVERE ] removing player 2 token from slot 8
[12:57:30.461] [SEVERE ] removing player 4 token from slot 8
[12:57:30.461] [SEVERE ] player 1 placing token on slot 8
[12:57:30.460] [SEVERE ] removing player 5 token from slot 8
[12:57:30.460] [SEVERE ] player 3 placing token on slot 8
[12:57:30.463] [SEVERE ] player 5 placing token on slot 8
[12:57:30.462] [SEVERE ] removing player 1 token from slot 8
[12:57:30.462] [SEVERE ] player 4 placing token on slot 8
[12:57:30.462] [SEVERE ] player 2 placing token on slot 8
[12:57:30.464] [SEVERE ] player 1 placing token on slot 8
[12:57:30.464] [SEVERE ] removing player 5 token from slot 8
[12:57:30.463] [SEVERE ] removing player 3 token from slot 8
[12:57:30.466] [SEVERE ] player 5 placing token on slot 8
[12:57:30.466] [SEVERE ] removing player 1 token from slot 8
[12:57:30.464] [SEVERE ] removing player 2 token from slot 8
[12:57:30.464] [SEVERE ] removing player 4 token from slot 8
[12:57:30.468] [SEVERE ] player 2 placing token on slot 8
[12:57:30.467] [SEVERE ] player 1 placing token on slot 8
[12:57:30.467] [SEVERE ] removing player 5 token from slot 8
[12:57:30.466] [SEVERE ] player 3 placing token on slot 8
[12:57:30.470] [SEVERE ] player 5 placing token on slot 8
[12:57:30.469] [SEVERE ] removing player 1 token from slot 8
[12:57:30.470] [SEVERE ] removing player 5 token from slot 8
