[20:52:20.433] [INFO   ] thread bguspl.set.Main.main() starting.
[20:52:20.438] [SEVERE ] cannot read configuration file config.properties trying from resources.
[20:52:20.439] [SEVERE ] configuration file was loaded from resources directory.
[20:52:21.108] [INFO   ] thread dealer starting.
[20:52:21.109] [INFO   ] thread dealer starting.
[20:52:21.110] [INFO   ] thread Thread-1 starting.
[20:52:21.110] [INFO   ] thread Thread-2 starting.
[20:52:21.112] [INFO   ] thread computer-1 starting.
[20:52:21.222] [SEVERE ] player 2 placing token on slot 2
[20:52:21.222] [SEVERE ] placing card 74 in slot 2
[20:52:21.229] [SEVERE ] removing player 2 token from slot 2
[20:52:21.230] [SEVERE ] player 2 placing token on slot 2
[20:52:21.231] [SEVERE ] removing player 2 token from slot 2
[20:52:21.231] [SEVERE ] player 2 placing token on slot 2
[20:52:21.232] [SEVERE ] removing player 2 token from slot 2
[20:52:21.232] [SEVERE ] player 2 placing token on slot 2
[20:52:21.233] [SEVERE ] removing player 2 token from slot 2
[20:52:21.233] [SEVERE ] player 2 placing token on slot 2
[20:52:21.233] [SEVERE ] removing player 2 token from slot 2
[20:52:21.234] [SEVERE ] player 2 placing token on slot 2
[20:52:21.234] [SEVERE ] removing player 2 token from slot 2
[20:52:21.234] [SEVERE ] player 2 placing token on slot 2
[20:52:21.235] [SEVERE ] removing player 2 token from slot 2
[20:52:21.235] [SEVERE ] player 2 placing token on slot 2
[20:52:21.236] [SEVERE ] removing player 2 token from slot 2
[20:52:21.236] [SEVERE ] player 2 placing token on slot 2
[20:52:21.237] [SEVERE ] removing player 2 token from slot 2
[20:52:21.237] [SEVERE ] player 2 placing token on slot 2
[20:52:21.238] [SEVERE ] removing player 2 token from slot 2
[20:52:21.238] [SEVERE ] player 2 placing token on slot 2
[20:52:21.238] [SEVERE ] removing player 2 token from slot 2
[20:52:21.239] [SEVERE ] player 2 placing token on slot 2
[20:52:21.239] [SEVERE ] removing player 2 token from slot 2
[20:52:21.240] [SEVERE ] player 2 placing token on slot 2
[20:52:21.240] [SEVERE ] removing player 2 token from slot 2
[20:52:21.240] [SEVERE ] player 2 placing token on slot 2
[20:52:21.240] [SEVERE ] removing player 2 token from slot 2
[20:52:21.242] [SEVERE ] player 2 placing token on slot 2
[20:52:21.242] [SEVERE ] removing player 2 token from slot 2
[20:52:21.242] [SEVERE ] player 2 placing token on slot 2
[20:52:21.243] [SEVERE ] removing player 2 token from slot 2
[20:52:21.243] [SEVERE ] player 2 placing token on slot 2
[20:52:21.243] [SEVERE ] removing player 2 token from slot 2
[20:52:21.243] [SEVERE ] player 2 placing token on slot 2
[20:52:21.244] [SEVERE ] removing player 2 token from slot 2
[20:52:21.244] [SEVERE ] player 2 placing token on slot 2
[20:52:21.244] [SEVERE ] removing player 2 token from slot 2
[20:52:21.244] [SEVERE ] player 2 placing token on slot 2
[20:52:21.245] [SEVERE ] removing player 2 token from slot 2
[20:52:21.245] [SEVERE ] player 2 placing token on slot 2
[20:52:21.245] [SEVERE ] removing player 2 token from slot 2
[20:52:21.245] [SEVERE ] player 2 placing token on slot 2
[20:52:21.246] [SEVERE ] removing player 2 token from slot 2
[20:52:21.246] [SEVERE ] player 2 placing token on slot 2
[20:52:21.246] [SEVERE ] removing player 2 token from slot 2
[20:52:21.247] [SEVERE ] player 2 placing token on slot 2
[20:52:21.247] [SEVERE ] removing player 2 token from slot 2
[20:52:21.247] [SEVERE ] player 2 placing token on slot 2
[20:52:21.248] [SEVERE ] removing player 2 token from slot 2
[20:52:21.248] [SEVERE ] player 2 placing token on slot 2
[20:52:21.249] [SEVERE ] removing player 2 token from slot 2
[20:52:21.249] [SEVERE ] player 2 placing token on slot 2
[20:52:21.249] [SEVERE ] removing player 2 token from slot 2
[20:52:21.249] [SEVERE ] player 2 placing token on slot 2
[20:52:21.250] [SEVERE ] removing player 2 token from slot 2
[20:52:21.250] [SEVERE ] player 2 placing token on slot 2
[20:52:21.251] [SEVERE ] removing player 2 token from slot 2
[20:52:21.251] [SEVERE ] player 2 placing token on slot 2
[20:52:21.251] [SEVERE ] removing player 2 token from slot 2
[20:52:21.252] [SEVERE ] player 2 placing token on slot 2
[20:52:21.252] [SEVERE ] removing player 2 token from slot 2
[20:52:21.252] [SEVERE ] player 2 placing token on slot 2
[20:52:21.252] [SEVERE ] removing player 2 token from slot 2
[20:52:21.252] [SEVERE ] player 2 placing token on slot 2
[20:52:21.252] [SEVERE ] removing player 2 token from slot 2
[20:52:21.253] [SEVERE ] player 2 placing token on slot 2
[20:52:21.253] [SEVERE ] removing player 2 token from slot 2
[20:52:21.253] [SEVERE ] player 2 placing token on slot 2
[20:52:21.254] [SEVERE ] removing player 2 token from slot 2
[20:52:21.254] [SEVERE ] player 2 placing token on slot 2
[20:52:21.254] [SEVERE ] removing player 2 token from slot 2
[20:52:21.255] [SEVERE ] player 2 placing token on slot 2
[20:52:21.255] [SEVERE ] removing player 2 token from slot 2
[20:52:21.256] [SEVERE ] player 2 placing token on slot 2
[20:52:21.256] [SEVERE ] removing player 2 token from slot 2
[20:52:21.256] [SEVERE ] player 2 placing token on slot 2
[20:52:21.257] [SEVERE ] removing player 2 token from slot 2
[20:52:21.257] [SEVERE ] player 2 placing token on slot 2
[20:52:21.257] [SEVERE ] removing player 2 token from slot 2
[20:52:21.258] [SEVERE ] player 2 placing token on slot 2
[20:52:21.258] [SEVERE ] removing player 2 token from slot 2
[20:52:21.258] [SEVERE ] player 2 placing token on slot 2
[20:52:21.259] [SEVERE ] removing player 2 token from slot 2
[20:52:21.259] [SEVERE ] player 2 placing token on slot 2
[20:52:21.259] [SEVERE ] removing player 2 token from slot 2
[20:52:21.259] [SEVERE ] player 2 placing token on slot 2
[20:52:21.260] [SEVERE ] removing player 2 token from slot 2
[20:52:21.260] [SEVERE ] player 2 placing token on slot 2
[20:52:21.260] [SEVERE ] removing player 2 token from slot 2
[20:52:21.260] [SEVERE ] player 2 placing token on slot 2
[20:52:21.262] [SEVERE ] removing player 2 token from slot 2
[20:52:21.262] [SEVERE ] player 2 placing token on slot 2
[20:52:21.262] [SEVERE ] removing player 2 token from slot 2
[20:52:21.263] [SEVERE ] player 2 placing token on slot 2
[20:52:21.263] [SEVERE ] removing player 2 token from slot 2
[20:52:21.264] [SEVERE ] player 2 placing token on slot 2
[20:52:21.264] [SEVERE ] removing player 2 token from slot 2
[20:52:21.264] [SEVERE ] player 2 placing token on slot 2
[20:52:21.265] [SEVERE ] removing player 2 token from slot 2
[20:52:21.265] [SEVERE ] player 2 placing token on slot 2
[20:52:21.265] [SEVERE ] removing player 2 token from slot 2
[20:52:21.265] [SEVERE ] player 2 placing token on slot 2
[20:52:21.267] [SEVERE ] removing player 2 token from slot 2
[20:52:21.267] [SEVERE ] player 2 placing token on slot 2
[20:52:21.267] [SEVERE ] removing player 2 token from slot 2
[20:52:21.267] [SEVERE ] player 2 placing token on slot 2
[20:52:21.268] [SEVERE ] removing player 2 token from slot 2
[20:52:21.268] [SEVERE ] player 2 placing token on slot 2
[20:52:21.268] [SEVERE ] removing player 2 token from slot 2
[20:52:21.268] [SEVERE ] player 2 placing token on slot 2
[20:52:21.268] [SEVERE ] removing player 2 token from slot 2
[20:52:21.270] [SEVERE ] player 2 placing token on slot 2
[20:52:21.270] [SEVERE ] removing player 2 token from slot 2
[20:52:21.270] [SEVERE ] player 2 placing token on slot 2
[20:52:21.271] [SEVERE ] removing player 2 token from slot 2
[20:52:21.271] [SEVERE ] player 2 placing token on slot 2
[20:52:21.271] [SEVERE ] removing player 2 token from slot 2
[20:52:21.273] [SEVERE ] player 2 placing token on slot 2
[20:52:21.273] [SEVERE ] removing player 2 token from slot 2
[20:52:21.273] [SEVERE ] player 2 placing token on slot 2
[20:52:21.274] [SEVERE ] removing player 2 token from slot 2
[20:52:21.274] [SEVERE ] player 2 placing token on slot 2
[20:52:21.274] [SEVERE ] removing player 2 token from slot 2
[20:52:21.274] [SEVERE ] player 2 placing token on slot 2
[20:52:21.276] [SEVERE ] removing player 2 token from slot 2
[20:52:21.276] [SEVERE ] player 2 placing token on slot 2
[20:52:21.278] [SEVERE ] removing player 2 token from slot 2
[20:52:21.278] [SEVERE ] player 2 placing token on slot 2
[20:52:21.278] [SEVERE ] removing player 2 token from slot 2
[20:52:21.278] [SEVERE ] player 2 placing token on slot 2
[20:52:21.279] [SEVERE ] removing player 2 token from slot 2
[20:52:21.279] [SEVERE ] player 2 placing token on slot 2
[20:52:21.279] [SEVERE ] removing player 2 token from slot 2
[20:52:21.279] [SEVERE ] player 2 placing token on slot 2
[20:52:21.279] [SEVERE ] removing player 2 token from slot 2
[20:52:21.279] [SEVERE ] player 2 placing token on slot 2
[20:52:21.279] [SEVERE ] removing player 2 token from slot 2
[20:52:21.279] [SEVERE ] player 2 placing token on slot 2
[20:52:21.279] [SEVERE ] removing player 2 token from slot 2
[20:52:21.281] [SEVERE ] player 2 placing token on slot 2
[20:52:21.281] [SEVERE ] removing player 2 token from slot 2
[20:52:21.281] [SEVERE ] player 2 placing token on slot 2
[20:52:21.281] [SEVERE ] removing player 2 token from slot 2
[20:52:21.281] [SEVERE ] player 2 placing token on slot 2
[20:52:21.282] [SEVERE ] removing player 2 token from slot 2
[20:52:21.282] [SEVERE ] player 2 placing token on slot 2
[20:52:21.282] [SEVERE ] removing player 2 token from slot 2
[20:52:21.282] [SEVERE ] player 2 placing token on slot 2
[20:52:21.282] [SEVERE ] removing player 2 token from slot 2
[20:52:21.282] [SEVERE ] player 2 placing token on slot 2
[20:52:21.282] [SEVERE ] removing player 2 token from slot 2
[20:52:21.284] [SEVERE ] player 2 placing token on slot 2
[20:52:21.284] [SEVERE ] removing player 2 token from slot 2
[20:52:21.284] [SEVERE ] player 2 placing token on slot 2
[20:52:21.284] [SEVERE ] removing player 2 token from slot 2
[20:52:21.284] [SEVERE ] player 2 placing token on slot 2
[20:52:21.284] [SEVERE ] removing player 2 token from slot 2
[20:52:21.285] [SEVERE ] player 2 placing token on slot 2
[20:52:21.285] [SEVERE ] removing player 2 token from slot 2
[20:52:21.285] [SEVERE ] player 2 placing token on slot 2
[20:52:21.285] [SEVERE ] removing player 2 token from slot 2
[20:52:21.285] [SEVERE ] player 2 placing token on slot 2
[20:52:21.285] [SEVERE ] removing player 2 token from slot 2
[20:52:21.285] [SEVERE ] player 2 placing token on slot 2
[20:52:21.287] [SEVERE ] removing player 2 token from slot 2
[20:52:21.287] [SEVERE ] player 2 placing token on slot 2
[20:52:21.287] [SEVERE ] removing player 2 token from slot 2
[20:52:21.287] [SEVERE ] player 2 placing token on slot 2
[20:52:21.287] [SEVERE ] removing player 2 token from slot 2
[20:52:21.287] [SEVERE ] player 2 placing token on slot 2
[20:52:21.288] [SEVERE ] removing player 2 token from slot 2
[20:52:21.288] [SEVERE ] player 2 placing token on slot 2
[20:52:21.288] [SEVERE ] removing player 2 token from slot 2
[20:52:21.288] [SEVERE ] player 2 placing token on slot 2
[20:52:21.288] [SEVERE ] removing player 2 token from slot 2
[20:52:21.288] [SEVERE ] player 2 placing token on slot 2
[20:52:21.290] [SEVERE ] removing player 2 token from slot 2
[20:52:21.290] [SEVERE ] player 2 placing token on slot 2
[20:52:21.290] [SEVERE ] removing player 2 token from slot 2
[20:52:21.290] [SEVERE ] player 2 placing token on slot 2
[20:52:21.291] [SEVERE ] removing player 2 token from slot 2
[20:52:21.292] [SEVERE ] player 2 placing token on slot 2
[20:52:21.292] [SEVERE ] removing player 2 token from slot 2
[20:52:21.292] [SEVERE ] player 2 placing token on slot 2
[20:52:21.293] [SEVERE ] removing player 2 token from slot 2
[20:52:21.293] [SEVERE ] player 2 placing token on slot 2
[20:52:21.293] [SEVERE ] removing player 2 token from slot 2
[20:52:21.293] [SEVERE ] player 2 placing token on slot 2
[20:52:21.293] [SEVERE ] removing player 2 token from slot 2
[20:52:21.293] [SEVERE ] player 2 placing token on slot 2
[20:52:21.294] [SEVERE ] removing player 2 token from slot 2
[20:52:21.294] [SEVERE ] player 2 placing token on slot 2
[20:52:21.294] [SEVERE ] removing player 2 token from slot 2
[20:52:21.294] [SEVERE ] player 2 placing token on slot 2
[20:52:21.295] [SEVERE ] removing player 2 token from slot 2
[20:52:21.295] [SEVERE ] player 2 placing token on slot 2
[20:52:21.295] [SEVERE ] removing player 2 token from slot 2
