[19:36:01.318] [INFO   ] thread bguspl.set.Main.main() starting.
[19:36:01.320] [SEVERE ] cannot read configuration file config.properties trying from resources.
[19:36:01.322] [SEVERE ] configuration file was loaded from resources directory.
[19:36:02.188] [INFO   ] thread dealer starting.
[19:36:02.189] [INFO   ] thread dealer starting.
[19:36:02.191] [INFO   ] thread Thread-1 starting.
[19:36:02.192] [INFO   ] thread Thread-2 starting.
[19:36:02.192] [INFO   ] thread Thread-3 starting.
[19:36:02.194] [INFO   ] thread computer-2 starting.
[19:36:02.307] [SEVERE ] placing card 44 in slot 0
[19:36:02.307] [SEVERE ] player 3 placing token on slot 0
[19:36:02.312] [SEVERE ] removing player 3 token from slot 0
[19:36:02.313] [SEVERE ] player 3 placing token on slot 0
[19:36:02.314] [SEVERE ] removing player 3 token from slot 0
[19:36:02.314] [SEVERE ] player 3 placing token on slot 0
[19:36:02.315] [SEVERE ] removing player 3 token from slot 0
[19:36:02.316] [SEVERE ] player 3 placing token on slot 0
[19:36:02.316] [SEVERE ] removing player 3 token from slot 0
[19:36:02.317] [SEVERE ] player 3 placing token on slot 0
[19:36:02.317] [SEVERE ] removing player 3 token from slot 0
[19:36:02.318] [SEVERE ] player 3 placing token on slot 0
[19:36:02.318] [SEVERE ] removing player 3 token from slot 0
[19:36:02.318] [SEVERE ] player 3 placing token on slot 0
[19:36:02.319] [SEVERE ] removing player 3 token from slot 0
[19:36:02.319] [SEVERE ] player 3 placing token on slot 0
[19:36:02.319] [SEVERE ] removing player 3 token from slot 0
[19:36:02.319] [SEVERE ] player 3 placing token on slot 0
[19:36:02.321] [SEVERE ] removing player 3 token from slot 0
[19:36:02.321] [SEVERE ] player 3 placing token on slot 0
[19:36:02.321] [SEVERE ] removing player 3 token from slot 0
[19:36:02.321] [SEVERE ] player 3 placing token on slot 0
[19:36:02.322] [SEVERE ] removing player 3 token from slot 0
[19:36:02.322] [SEVERE ] player 3 placing token on slot 0
[19:36:02.322] [SEVERE ] removing player 3 token from slot 0
[19:36:02.322] [SEVERE ] player 3 placing token on slot 0
[19:36:02.323] [SEVERE ] removing player 3 token from slot 0
[19:36:02.323] [SEVERE ] player 3 placing token on slot 0
[19:36:02.323] [SEVERE ] removing player 3 token from slot 0
[19:36:02.324] [SEVERE ] player 3 placing token on slot 0
[19:36:02.324] [SEVERE ] removing player 3 token from slot 0
[19:36:02.325] [SEVERE ] player 3 placing token on slot 0
[19:36:02.325] [SEVERE ] removing player 3 token from slot 0
[19:36:02.325] [SEVERE ] player 3 placing token on slot 0
[19:36:02.326] [SEVERE ] removing player 3 token from slot 0
[19:36:02.326] [SEVERE ] player 3 placing token on slot 0
[19:36:02.327] [SEVERE ] removing player 3 token from slot 0
[19:36:02.327] [SEVERE ] player 3 placing token on slot 0
[19:36:02.328] [SEVERE ] removing player 3 token from slot 0
[19:36:02.329] [SEVERE ] player 3 placing token on slot 0
[19:36:02.330] [SEVERE ] removing player 3 token from slot 0
[19:36:02.330] [SEVERE ] player 3 placing token on slot 0
[19:36:02.330] [SEVERE ] removing player 3 token from slot 0
[19:36:02.330] [SEVERE ] player 3 placing token on slot 0
[19:36:02.330] [SEVERE ] removing player 3 token from slot 0
[19:36:02.331] [SEVERE ] player 3 placing token on slot 0
[19:36:02.331] [SEVERE ] removing player 3 token from slot 0
[19:36:02.331] [SEVERE ] player 3 placing token on slot 0
[19:36:02.331] [SEVERE ] removing player 3 token from slot 0
[19:36:02.331] [SEVERE ] player 3 placing token on slot 0
[19:36:02.332] [SEVERE ] removing player 3 token from slot 0
[19:36:02.332] [SEVERE ] player 3 placing token on slot 0
[19:36:02.332] [SEVERE ] removing player 3 token from slot 0
[19:36:02.332] [SEVERE ] player 3 placing token on slot 0
[19:36:02.333] [SEVERE ] removing player 3 token from slot 0
[19:36:02.333] [SEVERE ] player 3 placing token on slot 0
[19:36:02.333] [SEVERE ] removing player 3 token from slot 0
[19:36:02.334] [SEVERE ] player 3 placing token on slot 0
[19:36:02.334] [SEVERE ] removing player 3 token from slot 0
[19:36:02.334] [SEVERE ] player 3 placing token on slot 0
[19:36:02.335] [SEVERE ] removing player 3 token from slot 0
[19:36:02.335] [SEVERE ] player 3 placing token on slot 0
[19:36:02.335] [SEVERE ] removing player 3 token from slot 0
[19:36:02.336] [SEVERE ] player 3 placing token on slot 0
[19:36:02.336] [SEVERE ] removing player 3 token from slot 0
[19:36:02.336] [SEVERE ] player 3 placing token on slot 0
[19:36:02.336] [SEVERE ] removing player 3 token from slot 0
[19:36:02.337] [SEVERE ] player 3 placing token on slot 0
[19:36:02.337] [SEVERE ] removing player 3 token from slot 0
[19:36:02.338] [SEVERE ] player 3 placing token on slot 0
[19:36:02.338] [SEVERE ] removing player 3 token from slot 0
[19:36:02.338] [SEVERE ] player 3 placing token on slot 0
[19:36:02.338] [SEVERE ] removing player 3 token from slot 0
[19:36:02.339] [SEVERE ] player 3 placing token on slot 0
[19:36:02.339] [SEVERE ] removing player 3 token from slot 0
[19:36:02.339] [SEVERE ] player 3 placing token on slot 0
[19:36:02.339] [SEVERE ] removing player 3 token from slot 0
[19:36:02.339] [SEVERE ] player 3 placing token on slot 0
[19:36:02.339] [SEVERE ] removing player 3 token from slot 0
[19:36:02.341] [SEVERE ] player 3 placing token on slot 0
[19:36:02.341] [SEVERE ] removing player 3 token from slot 0
[19:36:02.341] [SEVERE ] player 3 placing token on slot 0
[19:36:02.342] [SEVERE ] removing player 3 token from slot 0
[19:36:02.342] [SEVERE ] player 3 placing token on slot 0
[19:36:02.342] [SEVERE ] removing player 3 token from slot 0
[19:36:02.343] [SEVERE ] player 3 placing token on slot 0
[19:36:02.343] [SEVERE ] removing player 3 token from slot 0
[19:36:02.343] [SEVERE ] player 3 placing token on slot 0
[19:36:02.344] [SEVERE ] removing player 3 token from slot 0
[19:36:02.344] [SEVERE ] player 3 placing token on slot 0
[19:36:02.344] [SEVERE ] removing player 3 token from slot 0
[19:36:02.344] [SEVERE ] player 3 placing token on slot 0
[19:36:02.345] [SEVERE ] removing player 3 token from slot 0
[19:36:02.345] [SEVERE ] player 3 placing token on slot 0
[19:36:02.345] [SEVERE ] removing player 3 token from slot 0
[19:36:02.345] [SEVERE ] player 3 placing token on slot 0
[19:36:02.346] [SEVERE ] removing player 3 token from slot 0
[19:36:02.346] [SEVERE ] player 3 placing token on slot 0
[19:36:02.346] [SEVERE ] removing player 3 token from slot 0
[19:36:02.347] [SEVERE ] player 3 placing token on slot 0
[19:36:02.347] [SEVERE ] removing player 3 token from slot 0
[19:36:02.347] [SEVERE ] player 3 placing token on slot 0
[19:36:02.348] [SEVERE ] removing player 3 token from slot 0
[19:36:02.348] [SEVERE ] player 3 placing token on slot 0
[19:36:02.348] [SEVERE ] removing player 3 token from slot 0
[19:36:02.349] [SEVERE ] player 3 placing token on slot 0
[19:36:02.349] [SEVERE ] removing player 3 token from slot 0
[19:36:02.349] [SEVERE ] player 3 placing token on slot 0
[19:36:02.349] [SEVERE ] removing player 3 token from slot 0
[19:36:02.350] [SEVERE ] player 3 placing token on slot 0
[19:36:02.350] [SEVERE ] removing player 3 token from slot 0
[19:36:02.351] [SEVERE ] player 3 placing token on slot 0
[19:36:02.351] [SEVERE ] removing player 3 token from slot 0
[19:36:02.351] [SEVERE ] player 3 placing token on slot 0
[19:36:02.352] [SEVERE ] removing player 3 token from slot 0
[19:36:02.352] [SEVERE ] player 3 placing token on slot 0
[19:36:02.352] [SEVERE ] removing player 3 token from slot 0
[19:36:02.352] [SEVERE ] player 3 placing token on slot 0
[19:36:02.353] [SEVERE ] removing player 3 token from slot 0
[19:36:02.353] [SEVERE ] player 3 placing token on slot 0
[19:36:02.353] [SEVERE ] removing player 3 token from slot 0
[19:36:02.353] [SEVERE ] player 3 placing token on slot 0
[19:36:02.353] [SEVERE ] removing player 3 token from slot 0
[19:36:02.354] [SEVERE ] player 3 placing token on slot 0
[19:36:02.354] [SEVERE ] removing player 3 token from slot 0
[19:36:02.354] [SEVERE ] player 3 placing token on slot 0
[19:36:02.355] [SEVERE ] removing player 3 token from slot 0
[19:36:02.355] [SEVERE ] player 3 placing token on slot 0
[19:36:02.356] [SEVERE ] removing player 3 token from slot 0
[19:36:02.356] [SEVERE ] player 3 placing token on slot 0
[19:36:02.356] [SEVERE ] removing player 3 token from slot 0
[19:36:02.357] [SEVERE ] player 3 placing token on slot 0
[19:36:02.357] [SEVERE ] removing player 3 token from slot 0
[19:36:02.357] [SEVERE ] player 3 placing token on slot 0
[19:36:02.357] [SEVERE ] removing player 3 token from slot 0
[19:36:02.357] [SEVERE ] player 3 placing token on slot 0
[19:36:02.358] [SEVERE ] removing player 3 token from slot 0
[19:36:02.358] [SEVERE ] player 3 placing token on slot 0
[19:36:02.358] [SEVERE ] removing player 3 token from slot 0
[19:36:02.359] [SEVERE ] player 3 placing token on slot 0
[19:36:02.359] [SEVERE ] removing player 3 token from slot 0
[19:36:02.359] [SEVERE ] player 3 placing token on slot 0
[19:36:02.359] [SEVERE ] removing player 3 token from slot 0
[19:36:02.359] [SEVERE ] player 3 placing token on slot 0
[19:36:02.359] [SEVERE ] removing player 3 token from slot 0
[19:36:02.360] [SEVERE ] player 3 placing token on slot 0
[19:36:02.360] [SEVERE ] removing player 3 token from slot 0
[19:36:02.360] [SEVERE ] player 3 placing token on slot 0
[19:36:02.361] [SEVERE ] removing player 3 token from slot 0
[19:36:02.361] [SEVERE ] player 3 placing token on slot 0
[19:36:02.361] [SEVERE ] removing player 3 token from slot 0
[19:36:02.362] [SEVERE ] player 3 placing token on slot 0
[19:36:02.362] [SEVERE ] removing player 3 token from slot 0
[19:36:02.362] [SEVERE ] player 3 placing token on slot 0
[19:36:02.363] [SEVERE ] removing player 3 token from slot 0
[19:36:02.363] [SEVERE ] player 3 placing token on slot 0
[19:36:02.363] [SEVERE ] removing player 3 token from slot 0
[19:36:02.363] [SEVERE ] player 3 placing token on slot 0
[19:36:02.363] [SEVERE ] removing player 3 token from slot 0
[19:36:02.363] [SEVERE ] player 3 placing token on slot 0
[19:36:02.364] [SEVERE ] removing player 3 token from slot 0
[19:36:02.364] [SEVERE ] player 3 placing token on slot 0
[19:36:02.364] [SEVERE ] removing player 3 token from slot 0
[19:36:02.364] [SEVERE ] player 3 placing token on slot 0
[19:36:02.365] [SEVERE ] removing player 3 token from slot 0
[19:36:02.365] [SEVERE ] player 3 placing token on slot 0
[19:36:02.365] [SEVERE ] removing player 3 token from slot 0
[19:36:02.365] [SEVERE ] player 3 placing token on slot 0
[19:36:02.366] [SEVERE ] removing player 3 token from slot 0
[19:36:02.366] [SEVERE ] player 3 placing token on slot 0
[19:36:02.366] [SEVERE ] removing player 3 token from slot 0
[19:36:02.367] [SEVERE ] player 3 placing token on slot 0
[19:36:02.367] [SEVERE ] removing player 3 token from slot 0
[19:36:02.367] [SEVERE ] player 3 placing token on slot 0
[19:36:02.368] [SEVERE ] removing player 3 token from slot 0
[19:36:02.368] [SEVERE ] player 3 placing token on slot 0
[19:36:02.369] [SEVERE ] removing player 3 token from slot 0
[19:36:02.369] [SEVERE ] player 3 placing token on slot 0
[19:36:02.370] [SEVERE ] removing player 3 token from slot 0
[19:36:02.370] [SEVERE ] player 3 placing token on slot 0
[19:36:02.371] [SEVERE ] removing player 3 token from slot 0
[19:36:02.371] [SEVERE ] player 3 placing token on slot 0
[19:36:02.372] [SEVERE ] removing player 3 token from slot 0
[19:36:02.372] [SEVERE ] player 3 placing token on slot 0
[19:36:02.372] [SEVERE ] removing player 3 token from slot 0
[19:36:02.373] [SEVERE ] player 3 placing token on slot 0
[19:36:02.373] [SEVERE ] removing player 3 token from slot 0
[19:36:02.374] [SEVERE ] player 3 placing token on slot 0
