[19:25:24.096] [INFO   ] thread bguspl.set.Main.main() starting.
[19:25:24.101] [SEVERE ] cannot read configuration file config.properties trying from resources.
[19:25:24.102] [SEVERE ] configuration file was loaded from resources directory.
[19:25:25.019] [INFO   ] thread dealer starting.
[19:25:25.020] [INFO   ] thread dealer starting.
[19:25:25.021] [INFO   ] thread Thread-2 starting.
[19:25:25.021] [INFO   ] thread Thread-1 starting.
[19:25:25.024] [INFO   ] thread computer-1 starting.
[19:25:25.143] [SEVERE ] placing card 29 in slot 0
[19:25:25.143] [SEVERE ] player 2 placing token on slot 0
[19:25:25.149] [SEVERE ] removing player 2 token from slot 0
[19:25:25.151] [SEVERE ] player 2 placing token on slot 0
[19:25:25.151] [SEVERE ] removing player 2 token from slot 0
[19:25:25.152] [SEVERE ] player 2 placing token on slot 0
[19:25:25.152] [SEVERE ] removing player 2 token from slot 0
[19:25:25.152] [SEVERE ] player 2 placing token on slot 0
[19:25:25.153] [SEVERE ] removing player 2 token from slot 0
[19:25:25.154] [SEVERE ] player 2 placing token on slot 0
[19:25:25.154] [SEVERE ] removing player 2 token from slot 0
[19:25:25.154] [SEVERE ] player 2 placing token on slot 0
[19:25:25.154] [SEVERE ] removing player 2 token from slot 0
[19:25:25.155] [SEVERE ] player 2 placing token on slot 0
[19:25:25.156] [SEVERE ] removing player 2 token from slot 0
[19:25:25.157] [SEVERE ] player 2 placing token on slot 0
[19:25:25.157] [SEVERE ] removing player 2 token from slot 0
[19:25:25.157] [SEVERE ] player 2 placing token on slot 0
[19:25:25.157] [SEVERE ] removing player 2 token from slot 0
[19:25:25.158] [SEVERE ] player 2 placing token on slot 0
[19:25:25.158] [SEVERE ] removing player 2 token from slot 0
[19:25:25.158] [SEVERE ] player 2 placing token on slot 0
[19:25:25.158] [SEVERE ] removing player 2 token from slot 0
[19:25:25.160] [SEVERE ] player 2 placing token on slot 0
[19:25:25.161] [SEVERE ] removing player 2 token from slot 0
[19:25:25.162] [SEVERE ] player 2 placing token on slot 0
[19:25:25.162] [SEVERE ] removing player 2 token from slot 0
[19:25:25.162] [SEVERE ] player 2 placing token on slot 0
[19:25:25.163] [SEVERE ] removing player 2 token from slot 0
[19:25:25.163] [SEVERE ] player 2 placing token on slot 0
[19:25:25.164] [SEVERE ] removing player 2 token from slot 0
[19:25:25.164] [SEVERE ] player 2 placing token on slot 0
[19:25:25.164] [SEVERE ] removing player 2 token from slot 0
[19:25:25.165] [SEVERE ] player 2 placing token on slot 0
[19:25:25.165] [SEVERE ] removing player 2 token from slot 0
[19:25:25.166] [SEVERE ] player 2 placing token on slot 0
[19:25:25.166] [SEVERE ] removing player 2 token from slot 0
[19:25:25.166] [SEVERE ] player 2 placing token on slot 0
[19:25:25.167] [SEVERE ] removing player 2 token from slot 0
[19:25:25.167] [SEVERE ] player 2 placing token on slot 0
[19:25:25.168] [SEVERE ] removing player 2 token from slot 0
[19:25:25.169] [SEVERE ] player 2 placing token on slot 0
[19:25:25.170] [SEVERE ] removing player 2 token from slot 0
[19:25:25.170] [SEVERE ] player 2 placing token on slot 0
[19:25:25.171] [SEVERE ] removing player 2 token from slot 0
[19:25:25.171] [SEVERE ] player 2 placing token on slot 0
[19:25:25.171] [SEVERE ] removing player 2 token from slot 0
[19:25:25.172] [SEVERE ] player 2 placing token on slot 0
[19:25:25.172] [SEVERE ] removing player 2 token from slot 0
[19:25:25.172] [SEVERE ] player 2 placing token on slot 0
[19:25:25.172] [SEVERE ] removing player 2 token from slot 0
[19:25:25.172] [SEVERE ] player 2 placing token on slot 0
[19:25:25.173] [SEVERE ] removing player 2 token from slot 0
[19:25:25.173] [SEVERE ] player 2 placing token on slot 0
[19:25:25.173] [SEVERE ] removing player 2 token from slot 0
[19:25:25.173] [SEVERE ] player 2 placing token on slot 0
[19:25:25.175] [SEVERE ] removing player 2 token from slot 0
[19:25:25.175] [SEVERE ] player 2 placing token on slot 0
[19:25:25.175] [SEVERE ] removing player 2 token from slot 0
[19:25:25.176] [SEVERE ] player 2 placing token on slot 0
[19:25:25.176] [SEVERE ] removing player 2 token from slot 0
[19:25:25.177] [SEVERE ] player 2 placing token on slot 0
[19:25:25.177] [SEVERE ] removing player 2 token from slot 0
[19:25:25.177] [SEVERE ] player 2 placing token on slot 0
[19:25:25.178] [SEVERE ] removing player 2 token from slot 0
[19:25:25.178] [SEVERE ] player 2 placing token on slot 0
[19:25:25.179] [SEVERE ] removing player 2 token from slot 0
[19:25:25.179] [SEVERE ] player 2 placing token on slot 0
[19:25:25.179] [SEVERE ] removing player 2 token from slot 0
[19:25:25.179] [SEVERE ] player 2 placing token on slot 0
[19:25:25.180] [SEVERE ] removing player 2 token from slot 0
[19:25:25.180] [SEVERE ] player 2 placing token on slot 0
[19:25:25.180] [SEVERE ] removing player 2 token from slot 0
[19:25:25.181] [SEVERE ] player 2 placing token on slot 0
[19:25:25.181] [SEVERE ] removing player 2 token from slot 0
[19:25:25.182] [SEVERE ] player 2 placing token on slot 0
[19:25:25.182] [SEVERE ] removing player 2 token from slot 0
[19:25:25.182] [SEVERE ] player 2 placing token on slot 0
[19:25:25.182] [SEVERE ] removing player 2 token from slot 0
[19:25:25.182] [SEVERE ] player 2 placing token on slot 0
[19:25:25.182] [SEVERE ] removing player 2 token from slot 0
[19:25:25.183] [SEVERE ] player 2 placing token on slot 0
[19:25:25.183] [SEVERE ] removing player 2 token from slot 0
[19:25:25.183] [SEVERE ] player 2 placing token on slot 0
[19:25:25.183] [SEVERE ] removing player 2 token from slot 0
[19:25:25.183] [SEVERE ] player 2 placing token on slot 0
[19:25:25.184] [SEVERE ] removing player 2 token from slot 0
[19:25:25.184] [SEVERE ] player 2 placing token on slot 0
[19:25:25.184] [SEVERE ] removing player 2 token from slot 0
[19:25:25.185] [SEVERE ] player 2 placing token on slot 0
[19:25:25.185] [SEVERE ] removing player 2 token from slot 0
[19:25:25.186] [SEVERE ] player 2 placing token on slot 0
[19:25:25.186] [SEVERE ] removing player 2 token from slot 0
[19:25:25.186] [SEVERE ] player 2 placing token on slot 0
[19:25:25.187] [SEVERE ] removing player 2 token from slot 0
[19:25:25.187] [SEVERE ] player 2 placing token on slot 0
[19:25:25.188] [SEVERE ] removing player 2 token from slot 0
