[12:57:08.356] [INFO   ] thread bguspl.set.Main.main() starting.
[12:57:08.362] [SEVERE ] cannot read configuration file config.properties trying from resources.
[12:57:08.364] [SEVERE ] configuration file was loaded from resources directory.
[12:57:09.232] [INFO   ] thread dealer starting.
[12:57:09.234] [INFO   ] thread dealer starting.
[12:57:09.236] [INFO   ] thread Thread-4 starting.
[12:57:09.236] [INFO   ] thread Thread-2 starting.
[12:57:09.236] [INFO   ] thread Thread-3 starting.
[12:57:09.237] [INFO   ] thread Thread-1 starting.
[12:57:09.239] [INFO   ] thread Thread-5 starting.
[12:57:09.242] [INFO   ] thread computer-0 starting.
[12:57:09.241] [INFO   ] thread computer-2 starting.
[12:57:09.241] [INFO   ] thread computer-1 starting.
[12:57:09.240] [INFO   ] thread computer-3 starting.
[12:57:09.255] [INFO   ] thread computer-4 starting.
[12:57:09.353] [SEVERE ] player 2 placing token on slot 11
[12:57:09.354] [SEVERE ] player 1 placing token on slot 11
[12:57:09.354] [SEVERE ] player 3 placing token on slot 11
[12:57:09.353] [SEVERE ] player 5 placing token on slot 11
[12:57:09.358] [SEVERE ] removing player 3 token from slot 11
[12:57:09.353] [SEVERE ] placing card 38 in slot 11
[12:57:09.353] [SEVERE ] player 4 placing token on slot 11
[12:57:09.359] [SEVERE ] player 3 placing token on slot 11
[12:57:09.358] [SEVERE ] removing player 5 token from slot 11
[12:57:09.358] [SEVERE ] removing player 2 token from slot 11
[12:57:09.358] [SEVERE ] removing player 1 token from slot 11
[12:57:09.363] [SEVERE ] player 2 placing token on slot 11
[12:57:09.362] [SEVERE ] player 5 placing token on slot 11
[12:57:09.362] [SEVERE ] removing player 3 token from slot 11
[12:57:09.360] [SEVERE ] removing player 4 token from slot 11
[12:57:09.365] [SEVERE ] player 3 placing token on slot 11
[12:57:09.364] [SEVERE ] removing player 5 token from slot 11
[12:57:09.364] [SEVERE ] removing player 2 token from slot 11
[12:57:09.363] [SEVERE ] player 1 placing token on slot 11
[12:57:09.367] [SEVERE ] player 2 placing token on slot 11
[12:57:09.367] [SEVERE ] player 5 placing token on slot 11
[12:57:09.366] [SEVERE ] removing player 3 token from slot 11
[12:57:09.365] [SEVERE ] player 4 placing token on slot 11
[12:57:09.370] [SEVERE ] player 3 placing token on slot 11
[12:57:09.370] [SEVERE ] removing player 5 token from slot 11
[12:57:09.368] [SEVERE ] removing player 2 token from slot 11
[12:57:09.368] [SEVERE ] removing player 1 token from slot 11
[12:57:09.375] [SEVERE ] player 2 placing token on slot 11
[12:57:09.374] [SEVERE ] player 5 placing token on slot 11
[12:57:09.373] [SEVERE ] removing player 3 token from slot 11
[12:57:09.371] [SEVERE ] removing player 4 token from slot 11
[12:57:09.380] [SEVERE ] player 3 placing token on slot 11
[12:57:09.379] [SEVERE ] removing player 5 token from slot 11
[12:57:09.377] [SEVERE ] removing player 2 token from slot 11
[12:57:09.377] [SEVERE ] player 1 placing token on slot 11
[12:57:09.382] [SEVERE ] player 2 placing token on slot 11
[12:57:09.381] [SEVERE ] player 5 placing token on slot 11
[12:57:09.381] [SEVERE ] removing player 3 token from slot 11
[12:57:09.380] [SEVERE ] player 4 placing token on slot 11
[12:57:09.383] [SEVERE ] player 3 placing token on slot 11
[12:57:09.383] [SEVERE ] removing player 5 token from slot 11
[12:57:09.382] [SEVERE ] removing player 2 token from slot 11
[12:57:09.382] [SEVERE ] removing player 1 token from slot 11
[12:57:09.384] [SEVERE ] player 2 placing token on slot 11
[12:57:09.383] [SEVERE ] removing player 3 token from slot 11
[12:57:09.383] [SEVERE ] player 5 placing token on slot 11
[12:57:09.383] [SEVERE ] removing player 4 token from slot 11
[12:57:09.385] [SEVERE ] removing player 5 token from slot 11
[12:57:09.385] [SEVERE ] player 3 placing token on slot 11
[12:57:09.384] [SEVERE ] removing player 2 token from slot 11
[12:57:09.384] [SEVERE ] player 1 placing token on slot 11
[12:57:09.390] [SEVERE ] player 2 placing token on slot 11
[12:57:09.388] [SEVERE ] removing player 3 token from slot 11
[12:57:09.386] [SEVERE ] player 5 placing token on slot 11
[12:57:09.386] [SEVERE ] player 4 placing token on slot 11
[12:57:09.392] [SEVERE ] player 3 placing token on slot 11
[12:57:09.391] [SEVERE ] removing player 2 token from slot 11
[12:57:09.391] [SEVERE ] removing player 1 token from slot 11
[12:57:09.394] [SEVERE ] player 2 placing token on slot 11
[12:57:09.394] [SEVERE ] removing player 3 token from slot 11
[12:57:09.393] [SEVERE ] removing player 4 token from slot 11
[12:57:09.393] [SEVERE ] removing player 5 token from slot 11
[12:57:09.397] [SEVERE ] player 4 placing token on slot 11
[12:57:09.396] [SEVERE ] player 3 placing token on slot 11
[12:57:09.395] [SEVERE ] removing player 2 token from slot 11
[12:57:09.395] [SEVERE ] player 1 placing token on slot 11
[12:57:09.398] [SEVERE ] player 2 placing token on slot 11
[12:57:09.398] [SEVERE ] removing player 4 token from slot 11
[12:57:09.398] [SEVERE ] removing player 3 token from slot 11
[12:57:09.397] [SEVERE ] player 5 placing token on slot 11
[12:57:09.408] [SEVERE ] player 3 placing token on slot 11
[12:57:09.405] [SEVERE ] player 4 placing token on slot 11
[12:57:09.402] [SEVERE ] removing player 2 token from slot 11
[12:57:09.399] [SEVERE ] removing player 1 token from slot 11
[12:57:09.411] [SEVERE ] player 2 placing token on slot 11
[12:57:09.411] [SEVERE ] removing player 4 token from slot 11
[12:57:09.410] [SEVERE ] removing player 3 token from slot 11
[12:57:09.410] [SEVERE ] removing player 5 token from slot 11
[12:57:09.413] [SEVERE ] player 3 placing token on slot 11
[12:57:09.412] [SEVERE ] player 4 placing token on slot 11
[12:57:09.412] [SEVERE ] removing player 2 token from slot 11
[12:57:09.411] [SEVERE ] player 1 placing token on slot 11
[12:57:09.414] [SEVERE ] player 2 placing token on slot 11
[12:57:09.413] [SEVERE ] removing player 4 token from slot 11
